Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Beg,26.85,2.056,1.166,,Shell of Reminiscense,10,268.5,AP,0.194,0.117,,,Gem of Rider,14.55,184.5,AP,0.046,,,,Rider Piece,10.91,246.1,AP,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,71,"17,492",,,8.9,4.5,9.5,256.1,,,Octuplet Crystal,128.1,AP,0.407,0.198,,,Refined Magatama,128.1,AP,0.404,0.218,,,Deadly Poison Needle,85.4,AP,0.392,0.235,,,Stake of Wailing Night,85.4,AP,0.363,0.224,,,Eternal Ice,731.8,AP,0.063,0.043,,,Phoenix Feather,256.1,AP,0.232,0.130
Int,29.89,3.074,1.705,,Octuplet Crystal,20.63,144.9,AP,0.360,0.175,,,Gem of Caster,15.63,191.2,AP,0.042,,,,Caster Piece,17.5,170.8,AP,0.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,97,"25,505",,,14.5,7.3,5.9,175.7,,,Octuplet Crystal,87.8,AP,0.593,0.289,,,Refined Magatama,87.8,AP,0.590,0.318,,,Deadly Poison Needle,58.6,AP,0.572,0.343,,,Stake of Wailing Night,58.6,AP,0.529,0.327,,,Eternal Ice,501.9,AP,0.092,0.062,,,Phoenix Feather,175.7,AP,0.338,0.190
Adv,32.07,4.351,2.516,,Mystic Spinal Fluid,42.29,75.8,AP,0.423,0.303,,,Gem of Assassin,23.97,133.8,AP,0.058,,,,Assassin Piece,18.95,169.2,AP,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,137,"36,903",,,25.3,11.1,3.8,121.4,,,Octuplet Crystal,60.7,AP,0.858,0.419,,,Refined Magatama,60.7,AP,0.853,0.460,,,Deadly Poison Needle,40.5,AP,0.828,0.497,,,Stake of Wailing Night,40.5,AP,0.766,0.473,,,Eternal Ice,346.9,AP,0.133,0.090,,,Phoenix Feather,121.4,AP,0.489,0.275
Fish,31.77,4.845,2.752,,Mysterious Divine Wine,8.22,386.5,AP,0.361,0.206,,,Stake of Wailing Night,37.78,84.1,AP,0.369,0.228,,,Secret Gem of Lancer,5.83,544.9,AP,0.269,,,,Lancer Piece,21.2,149.9,AP,0.188,,,,Gem of Lancer,28.8,110.3,AP,0.077,,,,,,,,,,,,,,,,,,,5400,170,"38,661",,,27.7,11.4,3.6,115.9,,,Octuplet Crystal,57.9,AP,0.899,0.439,,,Refined Magatama,57.9,AP,0.894,0.482,,,Deadly Poison Needle,38.6,AP,0.867,0.520,,,Stake of Wailing Night,38.6,AP,0.803,0.495,,,Eternal Ice,331.1,AP,0.139,0.094,,,Phoenix Feather,115.9,AP,0.513,0.288
Vegetable,31.21,5.501,3.147,,Fruit of Eternity,16.27,191.8,AP,0.541,0.273,,,Meteor Horseshoes,30.55,102.2,AP,0.484,0.351,,,Secret Gem of Berserker,16.04,194.6,AP,0.854,,,,Berserker Monument,11.1,281.2,AP,0.258,,,,Gem of Berserker,33.5,93.2,AP,0.081,,,,,,,,,,,,,,,,,,,6400,205,"42,058",,,31.8,12.0,3.4,106.5,,,Octuplet Crystal,53.3,AP,0.978,0.477,,,Refined Magatama,53.3,AP,0.973,0.524,,,Deadly Poison Needle,35.5,AP,0.943,0.566,,,Stake of Wailing Night,35.5,AP,0.873,0.539,,,Eternal Ice,304.3,AP,0.151,0.103,,,Phoenix Feather,106.5,AP,0.558,0.314
Meat,30.72,6.044,3.369,,Dragon's Reverse Scale,13.24,232.0,AP,0.745,0.422,,,Eternal Gear,33.59,91.5,AP,0.498,0.242,,,Secret Gem of Archer,10.95,280.5,AP,0.479,,,,Archer Monument,16,192.0,AP,0.360,,,,Magic Gem of Archer,28.2,108.9,AP,0.180,,,,Gem of Archer,12.1,253.9,AP,0.029,,,,,,,,,,,7400,241,"45,111",,,33.2,12.7,3.2,99.3,,,Octuplet Crystal,49.7,AP,1.049,0.512,,,Refined Magatama,49.7,AP,1.043,0.562,,,Deadly Poison Needle,33.1,AP,1.012,0.607,,,Stake of Wailing Night,33.1,AP,0.936,0.578,,,Eternal Ice,283.7,AP,0.162,0.110,,,Phoenix Feather,99.3,AP,0.598,0.336
Cheese,30.62,6.252,3.597,,Lamp of Evil-Sealing,23.6,129.7,AP,0.741,0.406,,,Homunculus Baby,37.33,82.0,AP,0.644,0.448,,,Magic Gem of Saber,33.12,92.5,AP,0.242,,,,Saber Monument,19,161.2,AP,0.462,,,,Gem of Saber,11.7,261.7,AP,0.031,,,,,,,,,,,,,,,,,,,8400,274,"45,722",,,33.9,12.8,3.2,98.0,,,Octuplet Crystal,49.0,AP,1.063,0.519,,,Refined Magatama,49.0,AP,1.057,0.570,,,Deadly Poison Needle,32.7,AP,1.026,0.615,,,Stake of Wailing Night,32.7,AP,0.949,0.586,,,Eternal Ice,280.0,AP,0.165,0.112,,,Phoenix Feather,98.0,AP,0.606,0.341
Noodle,27.65,9.111,5.236,,Egg of Truth,21.05,131.4,AP,1.253,0.743,,,Ghost Lantern,40.49,68.3,AP,0.761,0.494,,,Secret Gem of Lancer,21.27,130.0,AP,1.126,,,,Lancer Monument,21.8,126.8,AP,0.574,,,,Gem of Lancer,22.4,123.4,AP,0.069,,,,Gem of Lancer,5.8,476.7,AP,0.018,,,,,,,,,,,9400,340,"66,673",,,44.7,16.9,2.4,67.2,,,Octuplet Crystal,33.6,AP,1.551,0.756,,,Refined Magatama,33.6,AP,1.542,0.831,,,Deadly Poison Needle,22.4,AP,1.496,0.897,,,Stake of Wailing Night,22.4,AP,1.384,0.854,,,Eternal Ice,192.0,AP,0.240,0.163,,,Phoenix Feather,67.2,AP,0.884,0.497
Tidying Up,27.81,9.607,5.505,,Flaming Oni Lantern Plant,26.3,105.7,AP,1.608,0.984,,,Crown of Silvery Light,52.19,53.3,AP,1.032,0.594,,,Secret Gem of Assassin,31.36,88.7,AP,1.782,,,,Assassin Monument,26.1,106.6,AP,0.654,,,,Gem of Assassin,5.9,471.4,AP,0.016,,,,,,,,,,,,,,,,,,,9400,338,"65,460",,,44.8,16.6,2.5,68.4,,,Octuplet Crystal,34.2,AP,1.523,0.743,,,Refined Magatama,34.2,AP,1.514,0.816,,,Deadly Poison Needle,22.8,AP,1.468,0.881,,,Stake of Wailing Night,22.8,AP,1.359,0.839,,,Eternal Ice,195.5,AP,0.236,0.160,,,Phoenix Feather,68.4,AP,0.868,0.488
Ice Cream,,,,,Eternal Ice,43.15,0.0,AP,,0.000,,,Magic Gem of Assassin,11.22,0.0,AP,,,,,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Octuplet Crystal,,,,,,,Refined Magatama,,,,,,,Deadly Poison Needle,,,,,,,Stake of Wailing Night,,,,,,,Eternal Ice,,,,,,,Phoenix Feather,,,,
