Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Beg,28.65,0.928,0.530,,Shell of Reminiscense,10,286.5,AP,0.182,0.109,,,Gem of Rider,14.55,196.9,AP,0.043,,,,Rider Piece,10.91,262.6,AP,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,66,"7,011",,,8.9,4.5,22.3,639.0,,,Octuplet Crystal,319.5,AP,0.163,0.080,,,Refined Magatama,319.5,AP,0.162,0.087,,,Deadly Poison Needle,213.0,AP,0.157,0.094,,,Stake of Wailing Night,213.0,AP,0.146,0.090,,,Eternal Ice,"1,825.8",AP,0.025,0.017,,,Phoenix Feather,639.0,AP,0.093,0.052
Int,32.81,1.386,0.756,,Octuplet Crystal,20.63,159.0,AP,0.328,0.160,,,Gem of Caster,15.63,209.9,AP,0.039,,,,Caster Piece,17.5,187.5,AP,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,88,"9,945",,,14.5,7.3,13.7,450.5,,,Octuplet Crystal,225.2,AP,0.231,0.113,,,Refined Magatama,225.2,AP,0.230,0.124,,,Deadly Poison Needle,150.2,AP,0.223,0.134,,,Stake of Wailing Night,150.2,AP,0.206,0.127,,,Eternal Ice,"1,287.1",AP,0.036,0.024,,,Phoenix Feather,450.5,AP,0.132,0.074
Adv,36.51,1.889,1.121,,Mystic Spinal Fluid,42.29,86.3,AP,0.372,0.266,,,Gem of Assassin,23.97,152.3,AP,0.051,,,,Assassin Piece,18.95,192.7,AP,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,121,"14,254",,,25.3,11.1,8.6,314.3,,,Octuplet Crystal,157.1,AP,0.332,0.162,,,Refined Magatama,157.1,AP,0.330,0.178,,,Deadly Poison Needle,104.8,AP,0.320,0.192,,,Stake of Wailing Night,104.8,AP,0.296,0.183,,,Eternal Ice,898.0,AP,0.051,0.035,,,Phoenix Feather,314.3,AP,0.189,0.106
Fish,36.33,2.242,1.283,,Mysterious Divine Wine,8.22,442.0,AP,0.316,0.180,,,Stake of Wailing Night,37.78,96.2,AP,0.322,0.199,,,Secret Gem of Lancer,5.83,623.2,AP,0.235,,,,Lancer Piece,21.2,171.4,AP,0.165,,,,Gem of Lancer,28.8,126.1,AP,0.067,,,,,,,,,,,,,,,,,,,5400,149,"15,065",,,27.7,11.4,8.2,297.4,,,Octuplet Crystal,148.7,AP,0.350,0.171,,,Refined Magatama,148.7,AP,0.348,0.188,,,Deadly Poison Needle,99.1,AP,0.338,0.203,,,Stake of Wailing Night,99.1,AP,0.313,0.193,,,Eternal Ice,849.7,AP,0.054,0.037,,,Phoenix Feather,297.4,AP,0.200,0.112
Vegetable,36.01,2.649,1.533,,Fruit of Eternity,16.27,221.3,AP,0.469,0.236,,,Meteor Horseshoes,30.55,117.9,AP,0.419,0.305,,,Secret Gem of Berserker,16.04,224.5,AP,0.740,,,,Berserker Monument,11.1,324.4,AP,0.223,,,,Gem of Berserker,33.5,107.5,AP,0.070,,,,,,,,,,,,,,,,,,,6400,178,"16,547",,,31.8,12.0,7.5,270.8,,,Octuplet Crystal,135.4,AP,0.385,0.188,,,Refined Magatama,135.4,AP,0.383,0.206,,,Deadly Poison Needle,90.3,AP,0.371,0.223,,,Stake of Wailing Night,90.3,AP,0.343,0.212,,,Eternal Ice,773.6,AP,0.060,0.040,,,Phoenix Feather,270.8,AP,0.219,0.123
Meat,35.8,2.931,1.620,,Dragon's Reverse Scale,13.24,270.4,AP,0.639,0.362,,,Eternal Gear,33.59,106.6,AP,0.427,0.207,,,Secret Gem of Archer,10.95,326.9,AP,0.411,,,,Archer Monument,16,223.8,AP,0.309,,,,Magic Gem of Archer,28.2,127.0,AP,0.154,,,,Gem of Archer,12.1,295.9,AP,0.025,,,,,,,,,,,7400,207,"17,520",,,33.2,12.7,7.1,255.7,,,Octuplet Crystal,127.9,AP,0.407,0.199,,,Refined Magatama,127.9,AP,0.405,0.218,,,Deadly Poison Needle,85.2,AP,0.393,0.236,,,Stake of Wailing Night,85.2,AP,0.364,0.224,,,Eternal Ice,730.6,AP,0.063,0.043,,,Phoenix Feather,255.7,AP,0.232,0.131
Cheese,35.74,3.079,1.798,,Lamp of Evil-Sealing,23.6,151.4,AP,0.635,0.348,,,Homunculus Baby,37.33,95.7,AP,0.551,0.384,,,Magic Gem of Saber,33.12,107.9,AP,0.208,,,,Saber Monument,19,188.1,AP,0.396,,,,Gem of Saber,11.7,305.5,AP,0.026,,,,,,,,,,,,,,,,,,,8400,235,"17,779",,,33.9,12.8,7.1,252.0,,,Octuplet Crystal,126.0,AP,0.414,0.202,,,Refined Magatama,126.0,AP,0.411,0.222,,,Deadly Poison Needle,84.0,AP,0.399,0.239,,,Stake of Wailing Night,84.0,AP,0.369,0.228,,,Eternal Ice,720.0,AP,0.064,0.043,,,Phoenix Feather,252.0,AP,0.236,0.133
Noodle,34.39,4.210,2.454,,Egg of Truth,21.05,163.4,AP,1.008,0.597,,,Ghost Lantern,40.49,84.9,AP,0.612,0.397,,,Secret Gem of Lancer,21.27,161.7,AP,0.905,,,,Lancer Monument,21.8,157.8,AP,0.461,,,,Gem of Lancer,22.4,153.5,AP,0.055,,,,Gem of Lancer,5.8,592.9,AP,0.014,,,,,,,,,,,9400,273,"24,339",,,44.7,16.9,5.4,184.1,,,Octuplet Crystal,92.0,AP,0.566,0.276,,,Refined Magatama,92.0,AP,0.563,0.303,,,Deadly Poison Needle,61.4,AP,0.546,0.328,,,Stake of Wailing Night,61.4,AP,0.505,0.312,,,Eternal Ice,525.9,AP,0.088,0.059,,,Phoenix Feather,184.1,AP,0.323,0.181
Tidying Up,34.44,4.696,2.720,,Flaming Oni Lantern Plant,26.3,131.0,AP,1.298,0.795,,,Crown of Silvery Light,52.19,66.0,AP,0.833,0.480,,,Secret Gem of Assassin,31.36,109.8,AP,1.439,,,,Assassin Monument,26.1,132.0,AP,0.528,,,,Gem of Assassin,5.9,583.7,AP,0.013,,,,,,,,,,,,,,,,,,,9400,273,"24,095",,,44.8,16.6,5.4,185.9,,,Octuplet Crystal,93.0,AP,0.560,0.273,,,Refined Magatama,93.0,AP,0.557,0.300,,,Deadly Poison Needle,62.0,AP,0.541,0.324,,,Stake of Wailing Night,62.0,AP,0.500,0.309,,,Eternal Ice,531.2,AP,0.087,0.059,,,Phoenix Feather,185.9,AP,0.319,0.180
Ice Cream,,,,,Eternal Ice,43.15,0.0,AP,,0.000,,,Magic Gem of Assassin,11.22,0.0,AP,,,,,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Octuplet Crystal,,,,,,,Refined Magatama,,,,,,,Deadly Poison Needle,,,,,,,Stake of Wailing Night,,,,,,,Eternal Ice,,,,,,,Phoenix Feather,,,,
