Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Beg,28.2,1.196,0.681,,Shell of Reminiscense,10,282.0,AP,0.185,0.111,,,Gem of Rider,14.55,193.8,AP,0.043,,,,Rider Piece,10.91,258.5,AP,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,67,"9,505",,,8.9,4.5,16.7,471.3,,,Octuplet Crystal,235.7,AP,0.221,0.108,,,Refined Magatama,235.7,AP,0.220,0.119,,,Deadly Poison Needle,157.1,AP,0.213,0.128,,,Stake of Wailing Night,157.1,AP,0.197,0.122,,,Eternal Ice,"1,346.6",AP,0.034,0.023,,,Phoenix Feather,471.3,AP,0.126,0.071
Int,32.08,1.779,0.977,,Octuplet Crystal,20.63,155.5,AP,0.335,0.163,,,Gem of Caster,15.63,205.2,AP,0.039,,,,Caster Piece,17.5,183.3,AP,0.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,90,"13,569",,,14.5,7.3,10.3,330.2,,,Octuplet Crystal,165.1,AP,0.316,0.154,,,Refined Magatama,165.1,AP,0.314,0.169,,,Deadly Poison Needle,110.1,AP,0.304,0.183,,,Stake of Wailing Night,110.1,AP,0.282,0.174,,,Eternal Ice,943.3,AP,0.049,0.033,,,Phoenix Feather,330.2,AP,0.180,0.101
Adv,35.4,2.447,1.437,,Mystic Spinal Fluid,42.29,83.7,AP,0.383,0.274,,,Gem of Assassin,23.97,147.7,AP,0.052,,,,Assassin Piece,18.95,186.8,AP,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,124,"19,384",,,25.3,11.1,6.5,231.1,,,Octuplet Crystal,115.6,AP,0.451,0.220,,,Refined Magatama,115.6,AP,0.448,0.242,,,Deadly Poison Needle,77.0,AP,0.435,0.261,,,Stake of Wailing Night,77.0,AP,0.402,0.248,,,Eternal Ice,660.3,AP,0.070,0.047,,,Phoenix Feather,231.1,AP,0.257,0.144
Fish,35.19,2.829,1.614,,Mysterious Divine Wine,8.22,428.1,AP,0.326,0.186,,,Stake of Wailing Night,37.78,93.1,AP,0.333,0.205,,,Secret Gem of Lancer,5.83,603.6,AP,0.243,,,,Lancer Piece,21.2,166.0,AP,0.170,,,,Gem of Lancer,28.8,122.2,AP,0.070,,,,,,,,,,,,,,,,,,,5400,153,"20,391",,,27.7,11.4,6.2,219.7,,,Octuplet Crystal,109.9,AP,0.474,0.231,,,Refined Magatama,109.9,AP,0.472,0.254,,,Deadly Poison Needle,73.2,AP,0.457,0.274,,,Stake of Wailing Night,73.2,AP,0.423,0.261,,,Eternal Ice,627.7,AP,0.073,0.050,,,Phoenix Feather,219.7,AP,0.270,0.152
Vegetable,34.81,3.288,1.895,,Fruit of Eternity,16.27,214.0,AP,0.485,0.244,,,Meteor Horseshoes,30.55,113.9,AP,0.434,0.315,,,Secret Gem of Berserker,16.04,217.0,AP,0.766,,,,Berserker Monument,11.1,313.6,AP,0.231,,,,Gem of Berserker,33.5,103.9,AP,0.072,,,,,,,,,,,,,,,,,,,6400,184,"22,265",,,31.8,12.0,5.8,201.2,,,Octuplet Crystal,100.6,AP,0.518,0.253,,,Refined Magatama,100.6,AP,0.515,0.278,,,Deadly Poison Needle,67.1,AP,0.499,0.300,,,Stake of Wailing Night,67.1,AP,0.462,0.285,,,Eternal Ice,574.9,AP,0.080,0.054,,,Phoenix Feather,201.2,AP,0.295,0.166
Meat,34.53,3.623,2.009,,Dragon's Reverse Scale,13.24,260.8,AP,0.663,0.375,,,Eternal Gear,33.59,102.8,AP,0.443,0.215,,,Secret Gem of Archer,10.95,315.3,AP,0.427,,,,Archer Monument,16,215.8,AP,0.320,,,,Magic Gem of Archer,28.2,122.4,AP,0.160,,,,Gem of Archer,12.1,285.4,AP,0.026,,,,,,,,,,,7400,214,"23,656",,,33.2,12.7,5.5,189.4,,,Octuplet Crystal,94.7,AP,0.550,0.268,,,Refined Magatama,94.7,AP,0.547,0.295,,,Deadly Poison Needle,63.1,AP,0.531,0.318,,,Stake of Wailing Night,63.1,AP,0.491,0.303,,,Eternal Ice,541.1,AP,0.085,0.058,,,Phoenix Feather,189.4,AP,0.314,0.176
Cheese,34.46,3.784,2.198,,Lamp of Evil-Sealing,23.6,146.0,AP,0.659,0.361,,,Homunculus Baby,37.33,92.3,AP,0.572,0.398,,,Magic Gem of Saber,33.12,104.0,AP,0.215,,,,Saber Monument,19,181.4,AP,0.410,,,,Gem of Saber,11.7,294.5,AP,0.027,,,,,,,,,,,,,,,,,,,8400,244,"23,986",,,33.9,12.8,5.4,186.8,,,Octuplet Crystal,93.4,AP,0.558,0.272,,,Refined Magatama,93.4,AP,0.555,0.299,,,Deadly Poison Needle,62.3,AP,0.538,0.323,,,Stake of Wailing Night,62.3,AP,0.498,0.307,,,Eternal Ice,533.6,AP,0.086,0.059,,,Phoenix Feather,186.8,AP,0.318,0.179
Noodle,32.71,5.245,3.042,,Egg of Truth,21.05,155.4,AP,1.059,0.628,,,Ghost Lantern,40.49,80.8,AP,0.644,0.418,,,Secret Gem of Lancer,21.27,153.8,AP,0.952,,,,Lancer Monument,21.8,150.0,AP,0.485,,,,Gem of Lancer,22.4,146.0,AP,0.058,,,,Gem of Lancer,5.8,564.0,AP,0.015,,,,,,,,,,,9400,287,"33,282",,,44.7,16.9,4.1,134.6,,,Octuplet Crystal,67.3,AP,0.774,0.378,,,Refined Magatama,67.3,AP,0.770,0.415,,,Deadly Poison Needle,44.9,AP,0.747,0.448,,,Stake of Wailing Night,44.9,AP,0.691,0.426,,,Eternal Ice,384.6,AP,0.120,0.081,,,Phoenix Feather,134.6,AP,0.441,0.248
Tidying Up,32.78,5.738,3.311,,Flaming Oni Lantern Plant,26.3,124.6,AP,1.364,0.835,,,Crown of Silvery Light,52.19,62.8,AP,0.876,0.504,,,Secret Gem of Assassin,31.36,104.5,AP,1.512,,,,Assassin Monument,26.1,125.6,AP,0.555,,,,Gem of Assassin,5.9,555.6,AP,0.014,,,,,,,,,,,,,,,,,,,9400,287,"32,870",,,44.8,16.6,4.2,136.3,,,Octuplet Crystal,68.1,AP,0.765,0.373,,,Refined Magatama,68.1,AP,0.760,0.410,,,Deadly Poison Needle,45.4,AP,0.737,0.442,,,Stake of Wailing Night,45.4,AP,0.682,0.421,,,Eternal Ice,389.4,AP,0.118,0.080,,,Phoenix Feather,136.3,AP,0.436,0.245
Ice Cream,,,,,Eternal Ice,43.15,0.0,AP,,0.000,,,Magic Gem of Assassin,11.22,0.0,AP,,,,,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Octuplet Crystal,,,,,,,Refined Magatama,,,,,,,Deadly Poison Needle,,,,,,,Stake of Wailing Night,,,,,,,Eternal Ice,,,,,,,Phoenix Feather,,,,
