Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Merry Roadwork: Beg,27.7,1.266,0.792,,Serpent Jewel,3.66,756.8,AP,0.071,0.043,,,Deadly Poison Needle,5.64,491.1,AP,0.068,0.041,,,Gem of Lancer,8.3,333.7,AP,0.025,,,,Lancer Piece,8.3,333.7,AP,0.084,,,,,,,,,,,,,,,,,,,,1900,69,"12,400",,,9.2,4.6,13.0,361.3,,,Meteor Horseshoes,180.7,AP,0.273,0.199,,,Seed of Yggdrasil,180.7,AP,0.223,0.125,,,Void's Dust,180.7,AP,0.173,0.084,,,Mystic Spinal Fluid,120.4,AP,0.267,0.191,,,Soundless Bell,361.3,AP,0.148,0.085,,,Giant's Ring,"1,165.5",AP,0.042,0.025
Merry Roadwork: Int,31.4,1.845,1.154,,Serpent Jewel,9.67,324.7,AP,0.166,0.100,,,Evil Bone,17.45,179.9,AP,0.124,0.076,,,Gem of Assassin,23.81,131.9,AP,0.058,,,,Assassin Piece,9.5,330.5,AP,0.089,,,,,,,,,,,,,,,,,,,,2900,92,"17,121",,,14.4,7.2,8.3,261.7,,,Meteor Horseshoes,130.8,AP,0.378,0.274,,,Seed of Yggdrasil,130.8,AP,0.308,0.173,,,Void's Dust,130.8,AP,0.238,0.116,,,Mystic Spinal Fluid,87.2,AP,0.368,0.263,,,Soundless Bell,261.7,AP,0.204,0.117,,,Giant's Ring,844.1,AP,0.058,0.034
Merry Roadwork: Adv,34.25,2.689,1.694,,Serpent Jewel,13.94,245.7,AP,0.220,0.132,,,Eternal Ice,14.43,237.4,AP,0.194,0.132,,,Magic Gem of Archer,10,342.5,AP,0.057,,,,Archer Piece,21.3,160.8,AP,0.175,,,,Gem of Archer,19.3,177.5,AP,0.042,,,,,,,,,,,,4400,128,"25,049",,,25.3,11.2,5.2,178.9,,,Meteor Horseshoes,89.4,AP,0.552,0.402,,,Seed of Yggdrasil,89.4,AP,0.451,0.253,,,Void's Dust,89.4,AP,0.349,0.169,,,Mystic Spinal Fluid,59.6,AP,0.538,0.385,,,Soundless Bell,178.9,AP,0.299,0.171,,,Giant's Ring,576.9,AP,0.085,0.050
Flyweight,34.06,3.184,1.924,,Tearstone of Blood,12.57,271.0,AP,0.428,0.214,,,Crown of Silvery Light,12.35,275.8,AP,0.199,0.115,,,Seed of Yggdrasil,16.2,210.2,AP,0.192,0.108,,,Magic Gem of Berserker,13.9,245.0,AP,0.090,,,,Berserker Piece,22.3,152.7,AP,0.189,,,,Gem of Berserker,15.8,215.6,AP,0.035,,,,5400,159,"26,043",,,26.0,11.6,5.1,172.0,,,Meteor Horseshoes,86.0,AP,0.574,0.417,,,Seed of Yggdrasil,86.0,AP,0.469,0.263,,,Void's Dust,86.0,AP,0.363,0.176,,,Mystic Spinal Fluid,57.3,AP,0.560,0.400,,,Soundless Bell,172.0,AP,0.311,0.178,,,Giant's Ring,554.9,AP,0.089,0.052
Bantamweight,33.55,3.543,2.126,,Reactor Core of Dawn,15.24,220.1,AP,0.472,0.238,,,Crown of Silvery Light,15.52,216.2,AP,0.254,0.146,,,Eternal Gear,15.65,214.4,AP,0.212,0.103,,,Magic Gem of Saber,14,239.6,AP,0.093,,,,Saber Monument,5.4,621.3,AP,0.120,,,,Gem of Saber,21.7,154.6,AP,0.052,,,,6400,191,"28,687",,,32.1,12.1,4.7,156.2,,,Meteor Horseshoes,78.1,AP,0.633,0.460,,,Seed of Yggdrasil,78.1,AP,0.516,0.290,,,Void's Dust,78.1,AP,0.400,0.194,,,Mystic Spinal Fluid,52.1,AP,0.617,0.441,,,Soundless Bell,156.2,AP,0.343,0.196,,,Giant's Ring,503.8,AP,0.098,0.057
Featherweight,33.43,3.836,2.308,,Lamp of Evil-Sealing,17.53,190.7,AP,0.504,0.276,,,Crown of Silvery Light,17.67,189.2,AP,0.291,0.167,,,Forbidden Page,18.22,183.5,AP,0.378,0.189,,,Magic Gem of Caster,20.1,166.3,AP,0.105,,,,Caster Monument,18,185.7,AP,0.378,,,,Gem of Caster,21.7,154.1,AP,0.053,,,,7400,221,"29,326",,,32.9,12.3,4.6,152.8,,,Meteor Horseshoes,76.4,AP,0.647,0.470,,,Seed of Yggdrasil,76.4,AP,0.528,0.297,,,Void's Dust,76.4,AP,0.408,0.198,,,Mystic Spinal Fluid,50.9,AP,0.630,0.451,,,Soundless Bell,152.8,AP,0.350,0.201,,,Giant's Ring,492.8,AP,0.100,0.059
Welterweight,33.23,4.182,2.580,,Dragon's Reverse Scale,17.14,193.9,AP,0.892,0.504,,,Divine Leyline Spiritron,20.1,165.3,AP,0.321,0.197,,,Dragon Fang,24.73,134.4,AP,0.207,0.141,,,Secret Gem of Rider,10.24,324.5,AP,0.313,,,,Rider Monument,16.7,199.0,AP,0.345,,,,Magic Gem of Rider,20.1,165.3,AP,0.131,,,,8400,253,"30,424",,,33.8,12.7,4.4,147.3,,,Meteor Horseshoes,73.6,AP,0.671,0.488,,,Seed of Yggdrasil,73.6,AP,0.547,0.308,,,Void's Dust,73.6,AP,0.424,0.206,,,Mystic Spinal Fluid,49.1,AP,0.654,0.468,,,Soundless Bell,147.3,AP,0.363,0.208,,,Giant's Ring,475.0,AP,0.104,0.061
Heavyweight,31.08,5.500,3.435,,Mysterious Divine Wine,20.02,155.2,AP,0.900,0.513,,,Divine Leyline Spiritron,21.12,147.2,AP,0.360,0.221,,,Meteor Horseshoes,21.88,142.0,AP,0.348,0.253,,,Secret Gem of Lancer,20.07,154.9,AP,0.945,,,,Lancer Monument,20.9,148.7,AP,0.490,,,,Magic Gem of Lancer,18.5,168.0,AP,0.120,,,,9400,302,"42,859",,,44.8,16.7,3.4,104.5,,,Meteor Horseshoes,52.3,AP,0.945,0.687,,,Seed of Yggdrasil,52.3,AP,0.771,0.434,,,Void's Dust,52.3,AP,0.597,0.290,,,Mystic Spinal Fluid,34.8,AP,0.921,0.659,,,Soundless Bell,104.5,AP,0.512,0.293,,,Giant's Ring,337.2,AP,0.146,0.086
Super Heavyweight,31.14,6.154,3.806,,Heart of the Foreign God,25.05,124.3,AP,1.310,0.808,,,Divine Leyline Spiritron,27.21,114.4,AP,0.463,0.284,,,Great Knight Medal,27.22,114.4,AP,0.523,0.286,,,Secret Gem of Archer,29.89,104.2,AP,1.291,,,,Archer Monument,26,119.8,AP,0.577,,,,Magic Gem of Archer,17.1,182.1,AP,0.108,,,,9400,302,"42,489",,,44.4,16.6,3.4,105.4,,,Meteor Horseshoes,52.7,AP,0.937,0.681,,,Seed of Yggdrasil,52.7,AP,0.764,0.430,,,Void's Dust,52.7,AP,0.592,0.287,,,Mystic Spinal Fluid,35.1,AP,0.913,0.653,,,Soundless Bell,105.4,AP,0.507,0.291,,,Giant's Ring,340.1,AP,0.145,0.085
Holy Night,,,,,Giant's Ring,38.62,0.0,AP,,0.000,,,Gem of Archer,31.53,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Meteor Horseshoes,,,,,,,Seed of Yggdrasil,,,,,,,Void's Dust,,,,,,,Mystic Spinal Fluid,,,,,,,Soundless Bell,,,,,,,Giant's Ring,,,,
