Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Merry Roadwork: Beg,26.78,1.775,1.112,,Serpent Jewel,3.66,731.7,AP,0.074,0.044,,,Deadly Poison Needle,5.64,474.8,AP,0.071,0.042,,,Gem of Lancer,8.3,322.7,AP,0.026,,,,Lancer Piece,8.3,322.7,AP,0.087,,,,,,,,,,,,,,,,,,,,1900,71,"17,956",,,9.2,4.6,9.3,249.5,,,Meteor Horseshoes,124.8,AP,0.396,0.288,,,Seed of Yggdrasil,124.8,AP,0.323,0.182,,,Void's Dust,124.8,AP,0.250,0.121,,,Mystic Spinal Fluid,83.2,AP,0.386,0.276,,,Soundless Bell,249.5,AP,0.214,0.123,,,Giant's Ring,804.8,AP,0.061,0.036
Merry Roadwork: Int,29.96,2.586,1.620,,Serpent Jewel,9.67,309.8,AP,0.174,0.104,,,Evil Bone,17.45,171.7,AP,0.130,0.080,,,Gem of Assassin,23.81,125.8,AP,0.061,,,,Assassin Piece,9.5,315.4,AP,0.093,,,,,,,,,,,,,,,,,,,,2900,97,"25,121",,,14.4,7.2,6.0,178.3,,,Meteor Horseshoes,89.2,AP,0.554,0.403,,,Seed of Yggdrasil,89.2,AP,0.452,0.254,,,Void's Dust,89.2,AP,0.350,0.170,,,Mystic Spinal Fluid,59.4,AP,0.540,0.386,,,Soundless Bell,178.3,AP,0.300,0.172,,,Giant's Ring,575.3,AP,0.086,0.050
Merry Roadwork: Adv,32.01,3.826,2.410,,Serpent Jewel,13.94,229.6,AP,0.235,0.141,,,Eternal Ice,14.43,221.8,AP,0.208,0.141,,,Magic Gem of Archer,10,320.1,AP,0.061,,,,Archer Piece,21.3,150.3,AP,0.187,,,,Gem of Archer,19.3,165.9,AP,0.045,,,,,,,,,,,,4400,137,"37,252",,,25.3,11.2,3.8,120.3,,,Meteor Horseshoes,60.1,AP,0.822,0.597,,,Seed of Yggdrasil,60.1,AP,0.670,0.377,,,Void's Dust,60.1,AP,0.519,0.252,,,Mystic Spinal Fluid,40.1,AP,0.801,0.573,,,Soundless Bell,120.3,AP,0.445,0.255,,,Giant's Ring,387.9,AP,0.127,0.075
Flyweight,31.74,4.408,2.689,,Tearstone of Blood,12.57,252.5,AP,0.459,0.230,,,Crown of Silvery Light,12.35,257.0,AP,0.214,0.123,,,Seed of Yggdrasil,16.2,195.9,AP,0.206,0.116,,,Magic Gem of Berserker,13.9,228.3,AP,0.096,,,,Berserker Piece,22.3,142.3,AP,0.203,,,,Gem of Berserker,15.8,200.9,AP,0.037,,,,5400,170,"38,862",,,26.0,11.6,3.6,115.3,,,Meteor Horseshoes,57.6,AP,0.857,0.623,,,Seed of Yggdrasil,57.6,AP,0.699,0.393,,,Void's Dust,57.6,AP,0.541,0.263,,,Mystic Spinal Fluid,38.4,AP,0.835,0.598,,,Soundless Bell,115.3,AP,0.464,0.266,,,Giant's Ring,371.9,AP,0.132,0.078
Bantamweight,31.13,4.873,2.955,,Reactor Core of Dawn,15.24,204.3,AP,0.508,0.256,,,Crown of Silvery Light,15.52,200.6,AP,0.274,0.158,,,Eternal Gear,15.65,198.9,AP,0.229,0.111,,,Magic Gem of Saber,14,222.4,AP,0.101,,,,Saber Monument,5.4,576.5,AP,0.129,,,,Gem of Saber,21.7,143.5,AP,0.056,,,,6400,206,"42,526",,,32.1,12.1,3.4,105.3,,,Meteor Horseshoes,52.7,AP,0.938,0.682,,,Seed of Yggdrasil,52.7,AP,0.765,0.430,,,Void's Dust,52.7,AP,0.592,0.288,,,Mystic Spinal Fluid,35.1,AP,0.914,0.654,,,Soundless Bell,105.3,AP,0.508,0.291,,,Giant's Ring,339.8,AP,0.145,0.085
Featherweight,30.97,5.218,3.169,,Lamp of Evil-Sealing,17.53,176.7,AP,0.545,0.298,,,Crown of Silvery Light,17.67,175.3,AP,0.314,0.181,,,Forbidden Page,18.22,170.0,AP,0.408,0.204,,,Magic Gem of Caster,20.1,154.1,AP,0.114,,,,Caster Monument,18,172.1,AP,0.408,,,,Gem of Caster,21.7,142.7,AP,0.057,,,,7400,239,"43,517",,,32.9,12.3,3.3,102.9,,,Meteor Horseshoes,51.5,AP,0.960,0.698,,,Seed of Yggdrasil,51.5,AP,0.783,0.440,,,Void's Dust,51.5,AP,0.606,0.294,,,Mystic Spinal Fluid,34.3,AP,0.935,0.669,,,Soundless Bell,102.9,AP,0.520,0.298,,,Giant's Ring,332.1,AP,0.148,0.087
Welterweight,30.69,5.651,3.500,,Dragon's Reverse Scale,17.14,179.1,AP,0.966,0.546,,,Divine Leyline Spiritron,20.1,152.7,AP,0.347,0.213,,,Dragon Fang,24.73,124.1,AP,0.224,0.152,,,Secret Gem of Rider,10.24,299.7,AP,0.339,,,,Rider Monument,16.7,183.8,AP,0.373,,,,Magic Gem of Rider,20.1,152.7,AP,0.141,,,,8400,274,"45,301",,,33.8,12.7,3.2,98.9,,,Meteor Horseshoes,49.4,AP,0.999,0.726,,,Seed of Yggdrasil,49.4,AP,0.815,0.458,,,Void's Dust,49.4,AP,0.631,0.306,,,Mystic Spinal Fluid,33.0,AP,0.974,0.697,,,Soundless Bell,98.9,AP,0.541,0.310,,,Giant's Ring,319.0,AP,0.154,0.091
Heavyweight,27.74,7.795,4.876,,Mysterious Divine Wine,20.02,138.6,AP,1.008,0.575,,,Divine Leyline Spiritron,21.12,131.3,AP,0.404,0.247,,,Meteor Horseshoes,21.88,126.8,AP,0.390,0.283,,,Secret Gem of Lancer,20.07,138.2,AP,1.059,,,,Lancer Monument,20.9,132.7,AP,0.548,,,,Magic Gem of Lancer,18.5,149.9,AP,0.135,,,,9400,339,"66,000",,,44.8,16.7,2.4,67.9,,,Meteor Horseshoes,33.9,AP,1.456,1.058,,,Seed of Yggdrasil,33.9,AP,1.187,0.668,,,Void's Dust,33.9,AP,0.919,0.446,,,Mystic Spinal Fluid,22.6,AP,1.419,1.015,,,Soundless Bell,67.9,AP,0.788,0.452,,,Giant's Ring,219.0,AP,0.225,0.132
Super Heavyweight,27.82,8.507,5.278,,Heart of the Foreign God,25.05,111.1,AP,1.466,0.905,,,Divine Leyline Spiritron,27.21,102.2,AP,0.518,0.318,,,Great Knight Medal,27.22,102.2,AP,0.585,0.320,,,Secret Gem of Archer,29.89,93.1,AP,1.445,,,,Archer Monument,26,107.0,AP,0.646,,,,Magic Gem of Archer,17.1,162.7,AP,0.120,,,,9400,338,"65,380",,,44.4,16.6,2.5,68.5,,,Meteor Horseshoes,34.3,AP,1.442,1.048,,,Seed of Yggdrasil,34.3,AP,1.176,0.661,,,Void's Dust,34.3,AP,0.911,0.442,,,Mystic Spinal Fluid,22.8,AP,1.405,1.005,,,Soundless Bell,68.5,AP,0.781,0.447,,,Giant's Ring,221.0,AP,0.223,0.131
Holy Night,,,,,Giant's Ring,38.62,0.0,AP,,0.000,,,Gem of Archer,31.53,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Meteor Horseshoes,,,,,,,Seed of Yggdrasil,,,,,,,Void's Dust,,,,,,,Mystic Spinal Fluid,,,,,,,Soundless Bell,,,,,,,Giant's Ring,,,,
