!! Bronze Materials,,
1,Proof of Hero,1098
2,Evil Bone,0
3,Dragon Fang,472
4,Void's Dust,2041
5,Fool's Chain,1004
6,Deadly Poison Needle,1931
7,Mystic Spinal Fluid,4989
8,Stake of Wailing Night,3973
9,Mystic Gunpowder,3886
10,Small Bell of Absolution,4529
11,Twilit Ritual Sword,634
12,Ashes of Forgetfulness,670
!! Silver Materials,,
13,Seed of Yggdrasil,661
14,Ghost Lantern,58
15,Octuplet Crystal,0
16,Serpent Jewel,0
17,Phoenix Feather,85
18,Eternal Gear,313
19,Forbidden Page,0
20,Homunculus Baby,0
21,Meteor Horseshoes,0
22,Great Knight Medal,1847
23,Shell of Reminiscense,1738
24,Refined Magatama,2099
25,Eternal Ice,2802
26,Giant's Ring,1568
27,Aurora Steel,1364
28,Soundless Bell,1558
29,Arrowhead of Malice,1496
30,Crown of Silvery Light,1786
31,Divine Leyline Spiritron,2606
32,Ball of Rainbow Thread,2052
33,Scale of Fantasy,2189
!! Gold Materials,,
34,Claw of Chaos,585
35,Heart of the Foreign God,0
36,Dragon's Reverse Scale,344
37,Spirit Root,750
38,Warhorse's Young Horn,163
39,Tearstone of Blood,610
40,Black Beast Grease,239
41,Lamp of Evil-Sealing,554
42,Scarab of Wisdom,522
43,Primordial Lanugo,894
44,Cursed Beast Gallstone,0
45,Mysterious Divine Wine,512
46,Reactor Core of Dawn,1434
47,Tsukumo Mirror,1338
48,Egg of Truth,1333
49,Fragment of a Twinkling Star,1490
50,Fruit of Eternity,1724
51,Flaming Oni Lantern Plant,1304
!! Blue Gems,,
52,Gem of Saber,0
53,Gem of Archer,0
54,Gem of Lancer,0
55,Gem of Rider,0
56,Gem of Caster,0
57,Gem of Assassin,0
58,Gem of Berserker,0
!! Red Gems,,
59,Magic Gem of Saber,0
60,Magic Gem of Archer,0
61,Magic Gem of Lancer,0
62,Magic Gem of Rider,0
63,Magic Gem of Caster,0
64,Magic Gem of Assassin,0
65,Magic Gem of Berserker,0
!! Gold Gems,,
66,Secret Gem of Saber,0
67,Secret Gem of Archer,0
68,Secret Gem of Lancer,0
69,Secret Gem of Rider,0
70,Secret Gem of Caster,0
71,Secret Gem of Assassin,0
72,Secret Gem of Berserker,0
!! Silver Statues,,
73,Saber Piece,0
74,Archer Piece,0
75,Lancer Piece,0
76,Rider Piece,0
77,Caster Piece,0
78,Assassin Piece,0
79,Berserker Piece,0
!! Gold Statues,,
80,Saber Monument,0
81,Archer Monument,0
82,Lancer Monument,0
83,Rider Monument,0
84,Caster Monument,0
85,Assassin Monument,0
86,Berserker Monument,0
!! 4* EXP,,
87,Saber Blaze,0
88,Archer Blaze,0
89,Lancer Blaze,0
90,Rider Blaze,0
91,Caster Blaze,0
92,Assassin Blaze,0
93,Berserker Blaze,0
!! 5* EXP,,
94,Saber Hellfire,0
95,Archer Hellfire,0
96,Lancer Hellfire,0
97,Rider Hellfire,0
98,Caster Hellfire,0
99,Assassin Hellfire,0
100,Berserker Hellfire,0
