Christmas 2025 w/ Horn,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,10,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,25.74,30,215,Lotto,10,,3.319,1.988,,6555,Vestige of Madness,20.32,126.7,AP,0.235,0.175,,6527,Deadly Poison Needle,11.23,229.2,AP,0.133,0.078,,6107,Magic Gem of Berserker,5.35,481.1,AP,0.046,,,7007,Berserker Piece,12.83,200.6,AP,0.097,,,6007,Gem of Berserker,13.37,192.5,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",93,"24,706",,,24.3,6.1,7.0,181.3,,6519,Warhorse's Young Horn,28.390,90.7,AP,0.950,0.560,,6526,Shell of Reminiscence,28.390,90.7,AP,0.512,0.281,,6514,Homunculus Baby,28.390,90.7,AP,0.501,0.295,,6534,Mystic Gunpowder,42.585,60.4,AP,0.453,0.279,,6533,Stake of Wailing Night,42.585,60.4,AP,0.452,0.270,,6549,Small Bell of Absolution,7.523,342.1,AP,0.084,0.049,,6005,Gem of Caster,4.542,566.7,AP,0.014,,,,,,,,,,,,-1,Blue Gems,28.390,,-2,Red Gems,28.390,,-3,Gold Gems,14.195,,-6,XP,425.9
Intermediate,29.38,35,415,Lotto,10,,3.968,2.339,,6545,Divine Leyline Spiritron,17.56,167.3,AP,0.277,0.169,,6508,Ghost Lantern,18.05,162.8,AP,0.281,0.166,,6006,Gem of Assassin,26.59,110.5,AP,0.066,,,7006,Assassin Piece,14.63,200.8,AP,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",150,"28,550",,,30.5,8.2,5.3,156.9,,6519,Warhorse's Young Horn,37.447,78.5,AP,1.097,0.647,,6526,Shell of Reminiscence,37.447,78.5,AP,0.591,0.325,,6514,Homunculus Baby,37.447,78.5,AP,0.579,0.341,,6534,Mystic Gunpowder,56.170,52.3,AP,0.524,0.322,,6533,Stake of Wailing Night,56.170,52.3,AP,0.522,0.312,,6549,Small Bell of Absolution,9.923,296.1,AP,0.098,0.057,,6005,Gem of Caster,5.991,490.4,AP,0.017,,,,,,,,,,,,-1,Blue Gems,37.447,,-2,Red Gems,37.447,,-3,Gold Gems,18.723,,-6,XP,561.7
Advanced,33.29,40,615,Lotto,10,,4.186,2.512,,6535,Eternal Ice,48.16,69.1,AP,0.590,0.399,,6101,Magic Gem of Saber,18.21,182.8,AP,0.121,,,7101,Saber Monument,11.03,301.8,AP,0.162,,,6001,Gem of Saber,22.94,145.1,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",192,"30,095",,,35.6,9.9,4.5,148.9,,6519,Warhorse's Young Horn,44.727,74.4,AP,1.157,0.682,,6526,Shell of Reminiscence,44.727,74.4,AP,0.623,0.343,,6514,Homunculus Baby,44.727,74.4,AP,0.610,0.360,,6534,Mystic Gunpowder,67.090,49.6,AP,0.552,0.339,,6533,Stake of Wailing Night,67.090,49.6,AP,0.550,0.329,,6549,Small Bell of Absolution,11.853,280.9,AP,0.103,0.060,,6005,Gem of Caster,7.156,465.2,AP,0.018,,,,,,,,,,,,-1,Blue Gems,44.727,,-2,Red Gems,44.727,,-3,Gold Gems,22.363,,-6,XP,670.9
Expert,32.26,40,815,Lotto,10,,5.288,3.116,,6553,Sun Leather,22.08,146.1,AP,0.307,0.223,,6511,Forbidden Page,21.62,149.2,AP,0.407,0.185,,6516,Evil Bone,50.64,63.7,AP,0.294,0.193,,6205,Secret Gem of Caster,14.68,219.8,AP,0.225,,,7105,Caster Monument,4.74,680.6,AP,0.072,,,6107,Magic Gem of Berserker,16.88,191.1,AP,0.115,,,7107,Berserker Monument,3.12,"1,034.0",AP,0.047,,,6007,Gem of Berserker,17.11,188.5,AP,0.037,,,7106,Assassin Monument,6.13,526.3,AP,0.092,,,7104,Rider Monument,3.93,820.9,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",260,"35,836",,,35.7,11.9,3.9,125.0,,6519,Warhorse's Young Horn,51.610,62.5,AP,1.377,0.812,,6526,Shell of Reminiscence,51.610,62.5,AP,0.742,0.408,,6514,Homunculus Baby,51.610,62.5,AP,0.726,0.428,,6534,Mystic Gunpowder,77.415,41.7,AP,0.658,0.404,,6533,Stake of Wailing Night,77.415,41.7,AP,0.655,0.391,,6549,Small Bell of Absolution,13.677,235.9,AP,0.123,0.072,,6005,Gem of Caster,8.258,390.7,AP,0.021,,,,,,,,,,,,-1,Blue Gems,51.610,,-2,Red Gems,51.610,,-3,Gold Gems,25.805,,-6,XP,774.2
Powder: Day 1,30.18,40,915,Lotto,10,,7.555,4.404,,6529,Cursed Beast Gallstone,21.61,139.7,AP,1.106,0.575,,6535,Eternal Ice,22.75,132.7,AP,0.308,0.208,,6551,Ceremonial Sword of Twilight,34.99,86.3,AP,0.336,0.210,,6205,Secret Gem of Caster,21.99,137.2,AP,0.361,,,7105,Caster Monument,21.22,142.2,AP,0.343,,,6105,Magic Gem of Caster,17.21,175.4,AP,0.101,,,6005,Gem of Caster,16.63,181.5,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",311,"48,598",,,45.3,15.1,3.1,92.2,,6519,Warhorse's Young Horn,65.477,46.1,AP,1.868,1.101,,6526,Shell of Reminiscence,65.477,46.1,AP,1.007,0.554,,6514,Homunculus Baby,65.477,46.1,AP,0.985,0.581,,6534,Mystic Gunpowder,98.215,30.7,AP,0.892,0.548,,6533,Stake of Wailing Night,98.215,30.7,AP,0.888,0.531,,6549,Small Bell of Absolution,17.351,173.9,AP,0.166,0.097,,6005,Gem of Caster,10.476,288.1,AP,0.028,,,,,,,,,,,,-1,Blue Gems,65.477,,-2,Red Gems,65.477,,-3,Gold Gems,32.738,,-6,XP,982.2
Flake: Day 1,29.3,40,"1,098",Lotto,10,,8.191,4.768,,6519,Warhorse's Young Horn,31.54,92.9,AP,0.927,0.546,,6526,Shell of Reminiscence,29.12,100.6,AP,0.461,0.254,,6503,Proof of Hero,45.27,64.7,AP,0.289,0.141,,6101,Magic Gem of Saber,31.13,94.1,AP,0.235,,,7101,Saber Monument,26.02,112.6,AP,0.433,,,6001,Gem of Saber,27.99,104.7,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,530",,,49.4,16.5,2.8,82.2,,6519,Warhorse's Young Horn,71.327,41.1,AP,2.096,1.235,,6526,Shell of Reminiscence,71.327,41.1,AP,1.130,0.621,,6514,Homunculus Baby,71.327,41.1,AP,1.105,0.651,,6534,Mystic Gunpowder,106.990,27.4,AP,1.001,0.615,,6533,Stake of Wailing Night,106.990,27.4,AP,0.997,0.595,,6549,Small Bell of Absolution,18.902,155.0,AP,0.186,0.109,,6005,Gem of Caster,11.412,256.7,AP,0.032,,,,,,,,,,,,-1,Blue Gems,71.327,,-2,Red Gems,71.327,,-3,Gold Gems,35.663,,-6,XP,1069.9
Powder: Day 2,30.15,40,915,Lotto,10,,7.460,4.416,,6528,Primordial Lanugo,26.72,112.8,AP,0.922,0.541,,6538,Soundless Bell,24.38,123.7,AP,0.373,0.222,,6535,Eternal Ice,25,120.6,AP,0.338,0.229,,6204,Secret Gem of Rider,20.31,148.4,AP,0.494,,,7104,Rider Monument,17.97,167.8,AP,0.297,,,6104,Magic Gem of Rider,15.31,196.9,AP,0.110,,,6004,Gem of Rider,16.72,180.3,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",312,"48,775",,,45.5,15.2,3.0,91.9,,6519,Warhorse's Young Horn,65.650,45.9,AP,1.875,1.105,,6526,Shell of Reminiscence,65.650,45.9,AP,1.010,0.556,,6514,Homunculus Baby,65.650,45.9,AP,0.989,0.583,,6534,Mystic Gunpowder,98.475,30.6,AP,0.895,0.550,,6533,Stake of Wailing Night,98.475,30.6,AP,0.892,0.532,,6549,Small Bell of Absolution,17.397,173.3,AP,0.167,0.098,,6005,Gem of Caster,10.504,287.0,AP,0.029,,,,,,,,,,,,-1,Blue Gems,65.650,,-2,Red Gems,65.650,,-3,Gold Gems,32.825,,-6,XP,984.8
Flake: Day 2,29.29,40,"1,098",Lotto,10,,8.054,4.729,,6550,Scale of Fantasy,49.82,58.8,AP,0.784,0.487,,6508,Ghost Lantern,28.76,101.8,AP,0.449,0.265,,6503,Proof of Hero,46.46,63.0,AP,0.297,0.145,,6103,Magic Gem of Lancer,16.48,177.7,AP,0.113,,,7103,Lancer Monument,26.55,110.3,AP,0.433,,,6003,Gem of Lancer,28.77,101.8,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,614",,,49.4,16.5,2.8,82.0,,6519,Warhorse's Young Horn,71.413,41.0,AP,2.099,1.237,,6526,Shell of Reminiscence,71.413,41.0,AP,1.131,0.622,,6514,Homunculus Baby,71.413,41.0,AP,1.107,0.652,,6534,Mystic Gunpowder,107.120,27.3,AP,1.002,0.616,,6533,Stake of Wailing Night,107.120,27.3,AP,0.998,0.596,,6549,Small Bell of Absolution,18.925,154.8,AP,0.187,0.109,,6005,Gem of Caster,11.426,256.3,AP,0.032,,,,,,,,,,,,-1,Blue Gems,71.413,,-2,Red Gems,71.413,,-3,Gold Gems,35.707,,-6,XP,1071.2
Powder: Day 3,30.32,40,915,Lotto,10,,7.501,4.456,,6548,Flaming Oni Lantern Plant,20.75,146.1,AP,1.066,0.653,,6547,Ball of Rainbow Thread,26.12,116.1,AP,0.395,0.241,,6551,Ceremonial Sword of Twilight,36.14,83.9,AP,0.346,0.216,,6201,Secret Gem of Saber,23.26,130.4,AP,0.552,,,7101,Saber Monument,18.78,161.4,AP,0.302,,,6101,Magic Gem of Saber,16.82,180.3,AP,0.123,,,6001,Gem of Saber,17.89,169.5,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",310,"47,669",,,44.7,14.9,3.1,94.0,,6519,Warhorse's Young Horn,64.523,47.0,AP,1.832,1.080,,6526,Shell of Reminiscence,64.523,47.0,AP,0.987,0.543,,6514,Homunculus Baby,64.523,47.0,AP,0.966,0.569,,6534,Mystic Gunpowder,96.785,31.3,AP,0.875,0.538,,6533,Stake of Wailing Night,96.785,31.3,AP,0.871,0.520,,6549,Small Bell of Absolution,17.099,177.3,AP,0.163,0.095,,6005,Gem of Caster,10.324,293.7,AP,0.028,,,,,,,,,,,,-1,Blue Gems,64.523,,-2,Red Gems,64.523,,-3,Gold Gems,32.262,,-6,XP,967.9
Flake: Day 3,29.27,40,"1,098",Lotto,10,,8.323,4.821,,6546,Fruit of Eternity,30.78,95.1,AP,0.965,0.487,,6545,Divine Leyline Spiritron,29.21,100.2,AP,0.462,0.282,,6527,Deadly Poison Needle,34.55,84.7,AP,0.359,0.211,,6103,Magic Gem of Lancer,32.47,90.1,AP,0.223,,,7103,Lancer Monument,25.83,113.3,AP,0.422,,,6003,Gem of Lancer,26.81,109.2,AP,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,718",,,49.5,16.5,2.8,81.9,,6519,Warhorse's Young Horn,71.500,40.9,AP,2.103,1.240,,6526,Shell of Reminiscence,71.500,40.9,AP,1.133,0.623,,6514,Homunculus Baby,71.500,40.9,AP,1.109,0.654,,6534,Mystic Gunpowder,107.250,27.3,AP,1.004,0.617,,6533,Stake of Wailing Night,107.250,27.3,AP,1.000,0.597,,6549,Small Bell of Absolution,18.948,154.5,AP,0.187,0.109,,6005,Gem of Caster,11.440,255.9,AP,0.032,,,,,,,,,,,,-1,Blue Gems,71.500,,-2,Red Gems,71.500,,-3,Gold Gems,35.750,,-6,XP,1072.5
