Christmas 2025 w/ Crown,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,6,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,26.96,30,215,Lotto,6,,2.088,1.258,,6555,Vestige of Madness,20.32,132.7,AP,0.225,0.168,,6527,Deadly Poison Needle,11.23,240.1,AP,0.127,0.075,,6107,Magic Gem of Berserker,5.35,503.9,AP,0.044,,,7007,Berserker Piece,12.83,210.1,AP,0.092,,,6007,Gem of Berserker,13.37,201.6,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",89,"16,842",,,24.3,6.1,9.9,266.0,,6543,Crown of Silvery Light,20.270,133.0,AP,0.372,0.215,,6526,Shell of Reminiscence,20.270,133.0,AP,0.349,0.192,,6514,Homunculus Baby,20.270,133.0,AP,0.341,0.201,,6534,Mystic Gunpowder,30.405,88.7,AP,0.309,0.190,,6533,Stake of Wailing Night,30.405,88.7,AP,0.308,0.184,,6549,Small Bell of Absolution,5.372,501.9,AP,0.058,0.034,,6005,Gem of Caster,3.243,831.3,AP,0.010,,,,,,,,,,,,-1,Blue Gems,20.270,,-2,Red Gems,20.270,,-3,Gold Gems,10.135,,-6,XP,304.1
Intermediate,31.02,35,415,Lotto,6,,2.504,1.473,,6545,Divine Leyline Spiritron,17.56,176.7,AP,0.262,0.160,,6508,Ghost Lantern,18.05,171.9,AP,0.266,0.157,,6006,Gem of Assassin,26.59,116.7,AP,0.063,,,7006,Assassin Piece,14.63,212.0,AP,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",142,"19,165",,,30.5,8.2,7.5,233.8,,6543,Crown of Silvery Light,26.540,116.9,AP,0.424,0.245,,6526,Shell of Reminiscence,26.540,116.9,AP,0.397,0.218,,6514,Homunculus Baby,26.540,116.9,AP,0.388,0.229,,6534,Mystic Gunpowder,39.810,77.9,AP,0.352,0.216,,6533,Stake of Wailing Night,39.810,77.9,AP,0.350,0.209,,6549,Small Bell of Absolution,7.033,441.1,AP,0.066,0.038,,6005,Gem of Caster,4.246,730.5,AP,0.011,,,,,,,,,,,,-1,Blue Gems,26.540,,-2,Red Gems,26.540,,-3,Gold Gems,13.270,,-6,XP,398.1
Advanced,35.26,40,615,Lotto,6,,2.626,1.587,,6535,Eternal Ice,48.16,73.2,AP,0.557,0.377,,6101,Magic Gem of Saber,18.21,193.6,AP,0.114,,,7101,Saber Monument,11.03,319.7,AP,0.153,,,6001,Gem of Saber,22.94,153.7,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",182,"20,062",,,35.6,9.9,6.3,223.3,,6543,Crown of Silvery Light,31.580,111.7,AP,0.443,0.257,,6526,Shell of Reminiscence,31.580,111.7,AP,0.416,0.229,,6514,Homunculus Baby,31.580,111.7,AP,0.407,0.240,,6534,Mystic Gunpowder,47.370,74.4,AP,0.368,0.226,,6533,Stake of Wailing Night,47.370,74.4,AP,0.367,0.219,,6549,Small Bell of Absolution,8.369,421.3,AP,0.069,0.040,,6005,Gem of Caster,5.053,697.8,AP,0.012,,,,,,,,,,,,-1,Blue Gems,31.580,,-2,Red Gems,31.580,,-3,Gold Gems,15.790,,-6,XP,473.7
Expert,34.64,40,815,Lotto,6,,3.321,1.953,,6553,Sun Leather,22.08,156.9,AP,0.286,0.208,,6511,Forbidden Page,21.62,160.2,AP,0.379,0.172,,6516,Evil Bone,50.64,68.4,AP,0.273,0.179,,6205,Secret Gem of Caster,14.68,236.0,AP,0.210,,,7105,Caster Monument,4.74,730.8,AP,0.067,,,6107,Magic Gem of Berserker,16.88,205.2,AP,0.107,,,7107,Berserker Monument,3.12,"1,110.3",AP,0.044,,,6007,Gem of Berserker,17.11,202.5,AP,0.034,,,7106,Assassin Monument,6.13,565.1,AP,0.086,,,7104,Rider Monument,3.93,881.4,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",242,"23,105",,,35.7,11.9,5.6,193.9,,6543,Crown of Silvery Light,35.730,96.9,AP,0.511,0.296,,6526,Shell of Reminiscence,35.730,96.9,AP,0.479,0.263,,6514,Homunculus Baby,35.730,96.9,AP,0.468,0.276,,6534,Mystic Gunpowder,53.595,64.6,AP,0.424,0.261,,6533,Stake of Wailing Night,53.595,64.6,AP,0.422,0.252,,6549,Small Bell of Absolution,9.468,365.8,AP,0.079,0.046,,6005,Gem of Caster,5.717,605.9,AP,0.014,,,,,,,,,,,,-1,Blue Gems,35.730,,-2,Red Gems,35.730,,-3,Gold Gems,17.865,,-6,XP,536.0
Powder: Day 1,33.2,40,915,Lotto,6,,4.744,2.748,,6529,Cursed Beast Gallstone,21.61,153.6,AP,1.005,0.522,,6535,Eternal Ice,22.75,145.9,AP,0.280,0.189,,6551,Ceremonial Sword of Twilight,34.99,94.9,AP,0.306,0.191,,6205,Secret Gem of Caster,21.99,151.0,AP,0.328,,,7105,Caster Monument,21.22,156.5,AP,0.312,,,6105,Magic Gem of Caster,17.21,192.9,AP,0.092,,,6005,Gem of Caster,16.63,199.6,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",283,"30,584",,,45.3,15.1,4.4,146.5,,6543,Crown of Silvery Light,45.330,73.2,AP,0.676,0.391,,6526,Shell of Reminiscence,45.330,73.2,AP,0.634,0.348,,6514,Homunculus Baby,45.330,73.2,AP,0.620,0.365,,6534,Mystic Gunpowder,67.995,48.8,AP,0.561,0.345,,6533,Stake of Wailing Night,67.995,48.8,AP,0.559,0.334,,6549,Small Bell of Absolution,12.012,276.4,AP,0.105,0.061,,6005,Gem of Caster,7.253,457.8,AP,0.018,,,,,,,,,,,,-1,Blue Gems,45.330,,-2,Red Gems,45.330,,-3,Gold Gems,22.665,,-6,XP,680.0
Flake: Day 1,32.59,40,"1,098",Lotto,6,,5.008,2.893,,6519,Warhorse's Young Horn,31.54,103.3,AP,0.833,0.491,,6526,Shell of Reminiscence,29.12,111.9,AP,0.415,0.228,,6503,Proof of Hero,45.27,72.0,AP,0.260,0.127,,6101,Magic Gem of Saber,31.13,104.7,AP,0.211,,,7101,Saber Monument,26.02,125.2,AP,0.390,,,6001,Gem of Saber,27.99,116.4,AP,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",346,"33,940",,,49.4,16.5,4.1,132.0,,6543,Crown of Silvery Light,49.380,66.0,AP,0.750,0.434,,6526,Shell of Reminiscence,49.380,66.0,AP,0.703,0.387,,6514,Homunculus Baby,49.380,66.0,AP,0.688,0.405,,6534,Mystic Gunpowder,74.070,44.0,AP,0.623,0.383,,6533,Stake of Wailing Night,74.070,44.0,AP,0.620,0.371,,6549,Small Bell of Absolution,13.086,249.1,AP,0.116,0.068,,6005,Gem of Caster,7.901,412.5,AP,0.020,,,,,,,,,,,,-1,Blue Gems,49.380,,-2,Red Gems,49.380,,-3,Gold Gems,24.690,,-6,XP,740.7
Powder: Day 2,33.18,40,915,Lotto,6,,4.648,2.753,,6528,Primordial Lanugo,26.72,124.2,AP,0.838,0.492,,6538,Soundless Bell,24.38,136.1,AP,0.339,0.202,,6535,Eternal Ice,25,132.7,AP,0.307,0.208,,6204,Secret Gem of Rider,20.31,163.4,AP,0.449,,,7104,Rider Monument,17.97,184.6,AP,0.270,,,6104,Magic Gem of Rider,15.31,216.7,AP,0.100,,,6004,Gem of Rider,16.72,198.4,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",283,"30,684",,,45.5,15.2,4.4,146.0,,6543,Crown of Silvery Light,45.450,73.0,AP,0.678,0.392,,6526,Shell of Reminiscence,45.450,73.0,AP,0.636,0.349,,6514,Homunculus Baby,45.450,73.0,AP,0.622,0.367,,6534,Mystic Gunpowder,68.175,48.7,AP,0.563,0.346,,6533,Stake of Wailing Night,68.175,48.7,AP,0.561,0.335,,6549,Small Bell of Absolution,12.044,275.5,AP,0.105,0.061,,6005,Gem of Caster,7.272,456.3,AP,0.018,,,,,,,,,,,,-1,Blue Gems,45.450,,-2,Red Gems,45.450,,-3,Gold Gems,22.725,,-6,XP,681.8
Flake: Day 2,32.58,40,"1,098",Lotto,6,,4.881,2.856,,6550,Scale of Fantasy,49.82,65.4,AP,0.705,0.437,,6508,Ghost Lantern,28.76,113.3,AP,0.403,0.238,,6503,Proof of Hero,46.46,70.1,AP,0.267,0.130,,6103,Magic Gem of Lancer,16.48,197.7,AP,0.102,,,7103,Lancer Monument,26.55,122.7,AP,0.390,,,6003,Gem of Lancer,28.77,113.2,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",346,"33,992",,,49.4,16.5,4.0,131.8,,6543,Crown of Silvery Light,49.440,65.9,AP,0.751,0.435,,6526,Shell of Reminiscence,49.440,65.9,AP,0.704,0.387,,6514,Homunculus Baby,49.440,65.9,AP,0.689,0.406,,6534,Mystic Gunpowder,74.160,43.9,AP,0.624,0.383,,6533,Stake of Wailing Night,74.160,43.9,AP,0.621,0.371,,6549,Small Bell of Absolution,13.102,248.7,AP,0.116,0.068,,6005,Gem of Caster,7.910,411.9,AP,0.020,,,,,,,,,,,,-1,Blue Gems,49.440,,-2,Red Gems,49.440,,-3,Gold Gems,24.720,,-6,XP,741.6
Powder: Day 3,33.3,40,915,Lotto,6,,4.744,2.824,,6548,Flaming Oni Lantern Plant,20.75,160.5,AP,0.971,0.595,,6547,Ball of Rainbow Thread,26.12,127.5,AP,0.359,0.219,,6551,Ceremonial Sword of Twilight,36.14,92.1,AP,0.315,0.197,,6201,Secret Gem of Saber,23.26,143.2,AP,0.502,,,7101,Saber Monument,18.78,177.3,AP,0.275,,,6101,Magic Gem of Saber,16.82,198.0,AP,0.112,,,6001,Gem of Saber,17.89,186.1,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",282,"30,048",,,44.7,14.9,4.5,149.1,,6543,Crown of Silvery Light,44.670,74.5,AP,0.664,0.384,,6526,Shell of Reminiscence,44.670,74.5,AP,0.622,0.342,,6514,Homunculus Baby,44.670,74.5,AP,0.609,0.359,,6534,Mystic Gunpowder,67.005,49.7,AP,0.551,0.339,,6533,Stake of Wailing Night,67.005,49.7,AP,0.549,0.328,,6549,Small Bell of Absolution,11.838,281.3,AP,0.103,0.060,,6005,Gem of Caster,7.147,465.9,AP,0.018,,,,,,,,,,,,-1,Blue Gems,44.670,,-2,Red Gems,44.670,,-3,Gold Gems,22.335,,-6,XP,670.1
Flake: Day 3,32.57,40,"1,098",Lotto,6,,5.116,2.935,,6546,Fruit of Eternity,30.78,105.8,AP,0.868,0.438,,6545,Divine Leyline Spiritron,29.21,111.5,AP,0.415,0.254,,6527,Deadly Poison Needle,34.55,94.3,AP,0.322,0.190,,6103,Magic Gem of Lancer,32.47,100.3,AP,0.200,,,7103,Lancer Monument,25.83,126.1,AP,0.379,,,6003,Gem of Lancer,26.81,121.5,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",346,"34,044",,,49.5,16.5,4.0,131.6,,6543,Crown of Silvery Light,49.500,65.8,AP,0.752,0.435,,6526,Shell of Reminiscence,49.500,65.8,AP,0.705,0.388,,6514,Homunculus Baby,49.500,65.8,AP,0.690,0.407,,6534,Mystic Gunpowder,74.250,43.9,AP,0.625,0.384,,6533,Stake of Wailing Night,74.250,43.9,AP,0.622,0.372,,6549,Small Bell of Absolution,13.118,248.3,AP,0.116,0.068,,6005,Gem of Caster,7.920,411.2,AP,0.020,,,,,,,,,,,,-1,Blue Gems,49.500,,-2,Red Gems,49.500,,-3,Gold Gems,24.750,,-6,XP,742.5
