Ilya's Castle,,Fuun Karakury Ilya's Castle,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Waterfall of Success,25.26,30,Lotto 1,12,,3.166,1.812,,6532,Refined Magatama,23.85,105.9,AP,0.416,0.217,,6004,Gem of Rider,9.61,262.9,AP,0.032,,,7004,Rider Piece,1.92,"1,315.6",AP,0.014,,,7003,Lancer Piece,3.84,657.8,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",115,"28,004",,,23.7,5.9,6.3,160.0,,,,,,,,,,6511,Forbidden Page,31.580,80.0,AP,0.760,0.380,,6524,Great Knight Medal,31.580,80.0,AP,0.676,0.388,,6516,Evil Bone,47.370,53.3,AP,0.349,0.230,,6512,Dragon Fang,47.370,53.3,AP,0.471,0.305,,6522,Fool's Chain,47.370,53.3,AP,0.493,0.292,,,,,,,,,,,,,,,,,,,-1,Blue Gems,31.580,,-2,Red Gems,31.580,,-3,Gold Gems,15.790,,-6,XP,473.7
First: Beast Buster,28.86,35,Lotto 1,12,,3.548,2.043,,6502,Seed of Yggdrasil,35.1,82.2,AP,0.427,0.233,,6105,Magic Gem of Caster,10.4,277.5,AP,0.063,,,7005,Caster Piece,6.79,425.0,AP,0.036,,,6005,Gem of Caster,12.3,234.6,AP,0.035,,,7001,Saber Piece,3.08,937.0,AP,0.020,,,7006,Assassin Piece,7.4,390.0,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",152,"31,792",,,30.0,7.7,4.9,140.9,,,,,,,,,,6511,Forbidden Page,40.960,70.5,AP,0.863,0.431,,6524,Great Knight Medal,40.960,70.5,AP,0.768,0.440,,6516,Evil Bone,61.440,47.0,AP,0.396,0.261,,6512,Dragon Fang,61.440,47.0,AP,0.534,0.346,,6522,Fool's Chain,61.440,47.0,AP,0.560,0.332,,,,,,,,,,,,,,,,,,,-1,Blue Gems,40.960,,-2,Red Gems,40.960,,-3,Gold Gems,20.480,,-6,XP,614.4
First: Door Towards Emancipation,32.12,40,Lotto 1,12,,4.196,2.437,,6549,Small Bell of Absolution,66.36,48.4,AP,0.599,0.351,,6003,Gem of Lancer,27.5,116.8,AP,0.072,,,7103,Lancer Monument,6.41,501.1,AP,0.095,,,7106,Assassin Monument,4.48,717.0,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",199,"36,636",,,36.4,10.1,3.8,122.3,,,,,,,,,,6511,Forbidden Page,52.533,61.1,AP,0.994,0.497,,6524,Great Knight Medal,52.533,61.1,AP,0.885,0.507,,6516,Evil Bone,78.800,40.8,AP,0.456,0.301,,6512,Dragon Fang,78.800,40.8,AP,0.616,0.398,,6522,Fool's Chain,78.800,40.8,AP,0.645,0.382,,,,,,,,,,,,,,,,,,,-1,Blue Gems,52.533,,-2,Red Gems,52.533,,-3,Gold Gems,26.267,,-6,XP,788.0
First: The First Down,31.18,40,Lotto 1,12,,5.111,2.973,,6530,Mystic Spinal Fluid,51.97,60.0,AP,0.478,0.261,,6551,Twilit Ritual Sword,52.39,59.5,AP,0.486,0.306,,6102,Magic Gem of Archer,8.07,386.4,AP,0.052,,,7102,Archer Monument,10,311.8,AP,0.155,,,6002,Gem of Archer,9.61,324.5,AP,0.022,,,7101,Saber Monument,6.92,450.6,AP,0.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",269,"42,242",,,35.3,11.8,3.4,106.1,,,,,,,,,,6511,Forbidden Page,58.800,53.0,AP,1.147,0.573,,6524,Great Knight Medal,58.800,53.0,AP,1.020,0.585,,6516,Evil Bone,88.200,35.4,AP,0.526,0.347,,6512,Dragon Fang,88.200,35.4,AP,0.710,0.459,,6522,Fool's Chain,88.200,35.4,AP,0.744,0.441,,,,,,,,,,,,,,,,,,,-1,Blue Gems,58.800,,-2,Red Gems,58.800,,-3,Gold Gems,29.400,,-6,XP,882.0
First: Ayakashi Residence,28.69,40,Lotto 1,12,,6.994,4.041,,6508,Ghost Lantern,39.4,72.8,AP,0.629,0.402,,6515,Octuplet Crystal,36.3,79.0,AP,0.586,0.287,,6106,Magic Gem of Assassin,55.7,51.5,AP,0.369,,,7104,Rider Monument,4.06,706.7,AP,0.069,,,7105,Caster Monument,4.37,656.5,AP,0.074,,,7106,Assassin Monument,12.9,222.4,AP,0.217,,,7107,Berserker Monument,3.56,805.9,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",328,"58,869",,,45.2,15.1,2.7,76.1,,,,,,,,,,6511,Forbidden Page,75.400,38.1,AP,1.598,0.799,,6524,Great Knight Medal,75.400,38.1,AP,1.422,0.815,,6516,Evil Bone,113.100,25.4,AP,0.733,0.484,,6512,Dragon Fang,113.100,25.4,AP,0.989,0.640,,6522,Fool's Chain,113.100,25.4,AP,1.037,0.615,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.400,,-2,Red Gems,75.400,,-3,Gold Gems,37.700,,-6,XP,1131.0
First: Check of Beg - Yang,27.62,40,Lotto 1,12,,8.701,4.855,,6518,Spirit Root,25.9,106.6,AP,1.440,0.705,,6505,Void's Dust,65.8,42.0,AP,0.688,0.338,,6201,Secret Gem of Saber,31,89.1,AP,0.777,,,7101,Saber Monument,27.4,100.8,AP,0.492,,,6101,Magic Gem of Saber,11.2,246.6,AP,0.089,,,6001,Gem of Saber,11.7,236.1,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,949",,,49.5,16.5,2.4,66.9,,,,,,,,,,6511,Forbidden Page,82.550,33.5,AP,1.817,0.909,,6524,Great Knight Medal,82.550,33.5,AP,1.617,0.927,,6516,Evil Bone,123.825,22.3,AP,0.834,0.550,,6512,Dragon Fang,123.825,22.3,AP,1.125,0.728,,6522,Fool's Chain,123.825,22.3,AP,1.179,0.699,,,,,,,,,,,,,,,,,,,-1,Blue Gems,82.550,,-2,Red Gems,82.550,,-3,Gold Gems,41.275,,-6,XP,1238.3
First: Check of Beg - Yin,26.96,40,Lotto 1,12,,9.811,5.720,,6544,Fragment of a Twinkling Star,31,87.0,AP,1.709,1.005,,6545,Divine Leyline Spiritron,59.3,45.5,AP,1.014,0.605,,6207,Secret Gem of Berserker,31.8,84.8,AP,0.882,,,7107,Berserker Monument,5.82,463.2,AP,0.104,,,6007,Gem of Berserker,30.6,88.1,AP,0.079,,,7104,Rider Monument,5.6,481.4,AP,0.101,,,7105,Caster Monument,5.73,470.5,AP,0.104,,,7106,Assassin Monument,16.9,159.5,AP,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",502,"72,202",,,52.1,17.4,2.3,62.0,,,,,,,,,,6511,Forbidden Page,86.900,31.0,AP,1.960,0.980,,6524,Great Knight Medal,86.900,31.0,AP,1.744,0.999,,6516,Evil Bone,130.350,20.7,AP,0.899,0.593,,6512,Dragon Fang,130.350,20.7,AP,1.214,0.785,,6522,Fool's Chain,130.350,20.7,AP,1.272,0.754,,,,,,,,,,,,,,,,,,,-1,Blue Gems,86.900,,-2,Red Gems,86.900,,-3,Gold Gems,43.450,,-6,XP,1303.5
Second: Rice Ball Slope,25.11,30,Lotto 2,12,,3.351,1.940,,6524,Great Knight Medal,23.1,108.7,AP,0.498,0.285,,6005,Gem of Caster,14.4,174.4,AP,0.047,,,7004,Rider Piece,1.44,"1,743.8",AP,0.011,,,7005,Caster Piece,7.24,346.8,AP,0.044,,,7006,Assassin Piece,4.34,578.6,AP,0.027,,,7007,Berserker Piece,2.89,868.9,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",115,"29,064",,,25.5,6.0,6.1,154.1,,,,,,,,,,6511,Forbidden Page,32.580,77.1,AP,0.789,0.394,,6524,Great Knight Medal,32.580,77.1,AP,0.702,0.402,,6516,Evil Bone,48.870,51.4,AP,0.362,0.239,,6512,Dragon Fang,48.870,51.4,AP,0.489,0.316,,6522,Fool's Chain,48.870,51.4,AP,0.512,0.303,,,,,,,,,,,,,,,,,,,-1,Blue Gems,32.580,,-2,Red Gems,32.580,,-3,Gold Gems,16.290,,-6,XP,488.7
Second: Goblin World,28.77,35,Lotto 2,12,,3.615,2.102,,6538,Soundless Bell,27.6,104.2,AP,0.443,0.263,,6001,Gem of Saber,22.3,129.0,AP,0.057,,,7001,Saber Piece,15.3,188.0,AP,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",153,"32,311",,,30.3,7.9,4.8,138.7,,,,,,,,,,6511,Forbidden Page,41.500,69.3,AP,0.877,0.439,,6524,Great Knight Medal,41.500,69.3,AP,0.780,0.447,,6516,Evil Bone,62.250,46.2,AP,0.402,0.265,,6512,Dragon Fang,62.250,46.2,AP,0.543,0.351,,6522,Fool's Chain,62.250,46.2,AP,0.569,0.337,,,,,,,,,,,,,,,,,,,-1,Blue Gems,41.500,,-2,Red Gems,41.500,,-3,Gold Gems,20.750,,-6,XP,622.5
Second: 3.03cm Boat,32.02,40,Lotto 2,12,,4.285,2.512,,6526,Shell of Reminiscense,43.5,73.6,AP,0.632,0.393,,6004,Gem of Rider,34,94.2,AP,0.089,,,7104,Rider Monument,11,291.1,AP,0.167,,,7107,Berserker Monument,5.5,582.2,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",200,"37,217",,,38.4,10.1,3.8,120.4,,,,,,,,,,6511,Forbidden Page,53.200,60.2,AP,1.010,0.505,,6524,Great Knight Medal,53.200,60.2,AP,0.899,0.515,,6516,Evil Bone,79.800,40.1,AP,0.464,0.306,,6512,Dragon Fang,79.800,40.1,AP,0.626,0.405,,6522,Fool's Chain,79.800,40.1,AP,0.655,0.388,,,,,,,,,,,,,,,,,,,-1,Blue Gems,53.200,,-2,Red Gems,53.200,,-3,Gold Gems,26.600,,-6,XP,798.0
