Dancing Dragon Castle,,Dancing Dragon Castle,,Lotto Drop Bonus:,,4,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Special sheet for GUDAGUDA New Yamataikoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Sweets,Eff,,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,
Nagasaki: Negotiation,30,30,165,Pseudo,4,,2.225,1.235,,6522,Fool's Chain,10.79,278,AP,0.095,0.056,,6106,Magic Gem of Assassin,10.16,295.3,AP,0.064,,,7006,Assassin Piece,12.06,248.8,AP,0.064,,,6006,Gem of Assassin,10.16,295.3,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,31,0.001,,,13.5,4.5,31.5,,13.8,4.6,32.1,,,,0,,6530,Mystic Spinal Fluid,78.75,38.1,AP,0.753,0.417,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,78.75,38.1,AP,1.376,0.76,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,2.88,1.732550573
Nagasaki: Interview,40,40,615,Pseudo,4,,4.101,2.057,,6520,Tearstone of Blood,16.99,235.4,AP,0.462,0.23,,6502,Seed of Yggdrasil,35.18,113.7,AP,0.31,0.171,,6102,Magic Gem of Archer,18.31,218.5,AP,0.092,,,7102,Archer Monument,10.96,365,AP,0.133,,,6002,Gem of Archer,20.6,194.2,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,203,0.005,,,23.4,7.8,54.6,,17.8,5.9,41.6,,11.9,4,27.9,,6530,Mystic Spinal Fluid,15.48,258.4,AP,0.111,0.062,,6502,Seed of Yggdrasil,15.48,258.4,AP,0.136,0.075,,6522,Fool's Chain,15.48,258.4,AP,0.102,0.061,,6501,Phoenix Feather,15.48,258.4,AP,0.203,0.112,,6523,Lamp of Evil-Sealing,15.48,258.4,AP,0.369,0.168,,6525,Scarab of Wisdom,15.48,258.4,AP,0.593,0.269,,6550,Scale of Fantasy,15.48,258.4,AP,0.179,0.112,,6533,Stake of Wailing Night,15.48,258.4,AP,0.106,0.062,,6511,Forbidden Page,15.48,258.4,AP,0.235,0.107,,6549,Small Bell of Absolution,15.48,258.4,AP,0.112,0.065,,6540,Tsukumo Mirror,15.48,258.4,AP,0.592,0.292,,6517,Heart of the Foreign God,15.48,258.4,AP,0.586,0.266,,,31.086,16.28193641
Nagasaki: Recipes,40,40,715,Pseudo,4,,4.208,2.173,,6528,Primordial Lanugo,18.86,212.1,AP,0.49,0.289,,6538,Soundless Bell,32.89,121.6,AP,0.38,0.225,,6106,Magic Gem of Assassin,29.62,135,AP,0.141,,,7106,Assassin Monument,13.25,301.9,AP,0.16,,,6006,Gem of Assassin,24.08,166.1,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,199,0.006,,,12,4,27.9,,23.5,7.8,54.7,,17.6,5.9,41,,6530,Mystic Spinal Fluid,15.52,257.8,AP,0.111,0.062,,6502,Seed of Yggdrasil,15.52,257.8,AP,0.137,0.076,,6522,Fool's Chain,15.52,257.8,AP,0.102,0.061,,6501,Phoenix Feather,15.52,257.8,AP,0.203,0.112,,6523,Lamp of Evil-Sealing,15.52,257.8,AP,0.37,0.168,,6525,Scarab of Wisdom,15.52,257.8,AP,0.594,0.27,,6550,Scale of Fantasy,15.52,257.8,AP,0.179,0.112,,6533,Stake of Wailing Night,15.52,257.8,AP,0.106,0.062,,6511,Forbidden Page,15.52,257.8,AP,0.236,0.107,,6549,Small Bell of Absolution,15.52,257.8,AP,0.112,0.065,,6540,Tsukumo Mirror,15.52,257.8,AP,0.594,0.292,,6517,Heart of the Foreign God,15.52,257.8,AP,0.588,0.267,,,35.039,20.78253074
Dragon Palace: Transport,35,35,265,Pseudo,4,,1.914,1.096,,6514,Homunculus Baby,19.54,179.1,AP,0.253,0.15,,6103,Magic Gem of Lancer,11.73,298.4,AP,0.067,,,7003,Lancer Piece,15.31,228.6,AP,0.081,,,6003,Gem of Lancer,11.73,298.4,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,27,0.002,,,,,0,,15.9,5.3,37.2,,16,5.3,37.2,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,92.93,37.7,AP,0.935,0.518,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,92.93,37.7,AP,0.725,0.426,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,8.929,5.308815455
Dragon Palace: Rebuild,40,40,815,Pseudo,4,,4.307,2.227,,6519,Warhorse's Young Horn,24.7,161.9,AP,0.532,0.315,,6543,Crown of Silvery Light,36.19,110.5,AP,0.453,0.26,,6101,Magic Gem of Saber,34.23,116.9,AP,0.189,,,7101,Saber Monument,16.54,241.8,AP,0.205,,,6001,Gem of Saber,17.06,234.5,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,202,0.006,,,17.6,5.9,41,,11.9,4,27.8,,23.5,7.8,54.8,,6530,Mystic Spinal Fluid,15.44,259.1,AP,0.111,0.061,,6502,Seed of Yggdrasil,15.44,259.1,AP,0.136,0.075,,6522,Fool's Chain,15.44,259.1,AP,0.102,0.06,,6501,Phoenix Feather,15.44,259.1,AP,0.202,0.112,,6523,Lamp of Evil-Sealing,15.44,259.1,AP,0.368,0.167,,6525,Scarab of Wisdom,15.44,259.1,AP,0.591,0.268,,6550,Scale of Fantasy,15.44,259.1,AP,0.178,0.111,,6533,Stake of Wailing Night,15.44,259.1,AP,0.105,0.062,,6511,Forbidden Page,15.44,259.1,AP,0.235,0.107,,6549,Small Bell of Absolution,15.44,259.1,AP,0.112,0.065,,6540,Tsukumo Mirror,15.44,259.1,AP,0.591,0.291,,6517,Heart of the Foreign God,15.44,259.1,AP,0.585,0.266,,,39.652,23.25263628
Detached Residence,40,40,415,Pseudo,4,,2.168,1.291,,6505,Void's Dust,35.42,112.9,AP,0.257,0.117,,6007,Gem of Berserker,28.7,139.4,AP,0.049,,,7007,Berserker Piece,23.15,172.8,AP,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,32,0.002,,,18.5,6.2,43.2,,,,0,,18.1,6,42.1,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,105.35,38,AP,0.693,0.413,,6501,Phoenix Feather,,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,105.35,38,AP,1.217,0.759,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,10.359,4.749150779
Dumpling Store,40,40,515,Pseudo,4,,4.75,2.418,,6507,Claw of Chaos,13.93,287.2,AP,0.324,0.191,,6536,Aurora Steel,22.47,178,AP,0.256,0.157,,6104,Magic Gem of Rider,12.13,329.8,AP,0.065,,,7004,Rider Piece,21.46,186.4,AP,0.099,,,6004,Gem of Rider,19.44,205.8,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,2,0.002,,,15.1,5,35.1,,15,5,34.9,,15,5,35.1,,6530,Mystic Spinal Fluid,19.41,206.1,AP,0.139,0.077,,6502,Seed of Yggdrasil,19.41,206.1,AP,0.171,0.095,,6522,Fool's Chain,19.41,206.1,AP,0.128,0.076,,6501,Phoenix Feather,19.41,206.1,AP,0.254,0.14,,6523,Lamp of Evil-Sealing,19.41,206.1,AP,0.463,0.21,,6525,Scarab of Wisdom,19.41,206.1,AP,0.743,0.337,,6550,Scale of Fantasy,19.41,206.1,AP,0.224,0.14,,6533,Stake of Wailing Night,19.41,206.1,AP,0.132,0.078,,6511,Forbidden Page,19.41,206.1,AP,0.295,0.134,,6549,Small Bell of Absolution,19.41,206.1,AP,0.14,0.082,,6540,Tsukumo Mirror,19.41,206.1,AP,0.743,0.366,,6517,Heart of the Foreign God,19.41,206.1,AP,0.735,0.334,,,23.295,13.999209
Nagasaki Bay Seafloor,40,40,915,Pseudo,4,,6.922,3.495,,6540,Tsukumo Mirror,20.57,194.5,AP,0.787,0.388,,6550,Scale of Fantasy,41.36,96.7,AP,0.478,0.298,,6203,Secret Gem of Lancer,20.34,196.7,AP,0.374,,,7103,Lancer Monument,19.32,207,AP,0.231,,,6003,Gem of Lancer,31.82,125.7,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,5,0.004,,,20.5,6.8,47.8,,20.5,6.8,47.9,,20.3,6.8,47.4,,6530,Mystic Spinal Fluid,26.33,151.9,AP,0.189,0.105,,6502,Seed of Yggdrasil,26.33,151.9,AP,0.232,0.128,,6522,Fool's Chain,26.33,151.9,AP,0.173,0.103,,6501,Phoenix Feather,26.33,151.9,AP,0.345,0.19,,6523,Lamp of Evil-Sealing,26.33,151.9,AP,0.628,0.285,,6525,Scarab of Wisdom,26.33,151.9,AP,1.008,0.458,,6550,Scale of Fantasy,26.33,151.9,AP,0.304,0.19,,6533,Stake of Wailing Night,26.33,151.9,AP,0.18,0.106,,6511,Forbidden Page,26.33,151.9,AP,0.4,0.182,,6549,Small Bell of Absolution,26.33,151.9,AP,0.19,0.111,,6540,Tsukumo Mirror,26.33,151.9,AP,1.008,0.496,,6517,Heart of the Foreign God,26.33,151.9,AP,0.997,0.453,,,50.739,27.56759762
Flood Gates,40,40,"1,098",Pseudo,4,,8.006,4.112,,6518,Spirit Root,25.45,157.2,AP,0.959,0.471,,6555,Vestige of Madness,77.69,51.5,AP,0.579,0.429,,6205,Secret Gem of Caster,26.16,152.9,AP,0.324,,,7105,Caster Monument,25.47,157,AP,0.31,,,6005,Gem of Caster,34.11,117.3,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,0.004,,,23.2,7.7,54.2,,23.2,7.7,54.2,,23.2,7.7,54.2,,6530,Mystic Spinal Fluid,30.1,132.9,AP,0.216,0.12,,6502,Seed of Yggdrasil,30.1,132.9,AP,0.265,0.147,,6522,Fool's Chain,30.1,132.9,AP,0.198,0.118,,6501,Phoenix Feather,30.1,132.9,AP,0.394,0.218,,6523,Lamp of Evil-Sealing,30.1,132.9,AP,0.718,0.326,,6525,Scarab of Wisdom,30.1,132.9,AP,1.153,0.523,,6550,Scale of Fantasy,30.1,132.9,AP,0.348,0.217,,6533,Stake of Wailing Night,30.1,132.9,AP,0.205,0.121,,6511,Forbidden Page,30.1,132.9,AP,0.458,0.208,,6549,Small Bell of Absolution,30.1,132.9,AP,0.217,0.127,,6540,Tsukumo Mirror,30.1,132.9,AP,1.152,0.567,,6517,Heart of the Foreign God,30.1,132.9,AP,1.14,0.518,,,61.684,36.16441964
Side Storehouse,40,40,"1,318",Pseudo,4,,9.047,4.715,,6548,Flaming Oni Lantern Plant,31.17,128.3,AP,1.221,0.744,,6554,Obsidian Knife,95.06,42.1,AP,0.689,0.426,,6204,Secret Gem of Rider,31.51,126.9,AP,0.578,,,7104,Rider Monument,8.79,455.1,AP,0.108,,,6104,Magic Gem of Rider,21.31,187.7,AP,0.115,,,6004,Gem of Rider,11.45,349.3,AP,0.024,,,7105,Caster Monument,8.55,467.8,AP,0.104,,,7106,Assassin Monument,7.56,529.1,AP,0.091,,,7107,Berserker Monument,8.76,456.6,AP,0.106,,,"13,536",338,,0.005,,,25.6,8.5,59.8,,25.6,8.5,59.8,,25.6,8.5,59.8,,6530,Mystic Spinal Fluid,33.21,120.4,AP,0.238,0.132,,6502,Seed of Yggdrasil,33.21,120.4,AP,0.292,0.162,,6522,Fool's Chain,33.21,120.4,AP,0.218,0.13,,6501,Phoenix Feather,33.21,120.4,AP,0.435,0.24,,6523,Lamp of Evil-Sealing,33.21,120.4,AP,0.792,0.36,,6525,Scarab of Wisdom,33.21,120.4,AP,1.272,0.578,,6550,Scale of Fantasy,33.21,120.4,AP,0.384,0.239,,6533,Stake of Wailing Night,33.21,120.4,AP,0.227,0.133,,6511,Forbidden Page,33.21,120.4,AP,0.505,0.229,,6549,Small Bell of Absolution,33.21,120.4,AP,0.24,0.14,,6540,Tsukumo Mirror,33.21,120.4,AP,1.271,0.626,,6517,Heart of the Foreign God,33.21,120.4,AP,1.258,0.571,,,76.577,47.00065527
