Dancing Dragon Castle,,Dancing Dragon Castle,,Lotto Drop Bonus:,,8,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Special sheet for GUDAGUDA New Yamataikoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Sweets,Eff,,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,
Nagasaki: Negotiation,30,30,165,Pseudo,8,,3.442,1.907,,6522,Fool's Chain,10.79,278,AP,0.095,0.056,,6106,Magic Gem of Assassin,10.16,295.3,AP,0.064,,,7006,Assassin Piece,12.06,248.8,AP,0.064,,,6006,Gem of Assassin,10.16,295.3,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,48,0.002,,,13.5,4.5,49.5,,13.8,4.6,50.5,,,,0,,6530,Mystic Spinal Fluid,123.75,24.2,AP,1.184,0.656,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,123.75,24.2,AP,2.162,1.194,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,2.888,1.740264791
Nagasaki: Interview,40,40,615,Pseudo,8,,6.002,3.001,,6520,Tearstone of Blood,16.99,235.4,AP,0.462,0.23,,6502,Seed of Yggdrasil,35.18,113.7,AP,0.31,0.171,,6102,Magic Gem of Archer,18.31,218.5,AP,0.092,,,7102,Archer Monument,10.96,365,AP,0.133,,,6002,Gem of Archer,20.6,194.2,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,318,0.007,,,23.4,7.8,85.8,,17.8,5.9,65.3,,11.9,4,43.8,,6530,Mystic Spinal Fluid,24.32,164.5,AP,0.175,0.097,,6502,Seed of Yggdrasil,24.32,164.5,AP,0.214,0.119,,6522,Fool's Chain,24.32,164.5,AP,0.16,0.095,,6501,Phoenix Feather,24.32,164.5,AP,0.319,0.176,,6523,Lamp of Evil-Sealing,24.32,164.5,AP,0.58,0.263,,6525,Scarab of Wisdom,24.32,164.5,AP,0.932,0.423,,6550,Scale of Fantasy,24.32,164.5,AP,0.281,0.175,,6533,Stake of Wailing Night,24.32,164.5,AP,0.166,0.098,,6511,Forbidden Page,24.32,164.5,AP,0.37,0.168,,6549,Small Bell of Absolution,24.32,164.5,AP,0.176,0.102,,6540,Tsukumo Mirror,24.32,164.5,AP,0.931,0.458,,6517,Heart of the Foreign God,24.32,164.5,AP,0.921,0.418,,,31.155,16.35047427
Nagasaki: Recipes,40,40,715,Pseudo,8,,6.114,3.12,,6528,Primordial Lanugo,18.86,212.1,AP,0.49,0.289,,6538,Soundless Bell,32.89,121.6,AP,0.38,0.225,,6106,Magic Gem of Assassin,29.62,135,AP,0.141,,,7106,Assassin Monument,13.25,301.9,AP,0.16,,,6006,Gem of Assassin,24.08,166.1,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,313,0.007,,,12,4,43.9,,23.5,7.8,86,,17.6,5.9,64.4,,6530,Mystic Spinal Fluid,24.38,164,AP,0.175,0.097,,6502,Seed of Yggdrasil,24.38,164,AP,0.215,0.119,,6522,Fool's Chain,24.38,164,AP,0.16,0.096,,6501,Phoenix Feather,24.38,164,AP,0.319,0.176,,6523,Lamp of Evil-Sealing,24.38,164,AP,0.582,0.264,,6525,Scarab of Wisdom,24.38,164,AP,0.934,0.424,,6550,Scale of Fantasy,24.38,164,AP,0.282,0.176,,6533,Stake of Wailing Night,24.38,164,AP,0.166,0.098,,6511,Forbidden Page,24.38,164,AP,0.371,0.168,,6549,Small Bell of Absolution,24.38,164,AP,0.176,0.103,,6540,Tsukumo Mirror,24.38,164,AP,0.933,0.46,,6517,Heart of the Foreign God,24.38,164,AP,0.924,0.419,,,35.106,20.8501785
Dragon Palace: Transport,35,35,265,Pseudo,8,,2.863,1.635,,6514,Homunculus Baby,19.54,179.1,AP,0.253,0.15,,6103,Magic Gem of Lancer,11.73,298.4,AP,0.067,,,7003,Lancer Piece,15.31,228.6,AP,0.081,,,6003,Gem of Lancer,11.73,298.4,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,42,0.002,,,,,0,,15.9,5.3,58.4,,16,5.3,58.5,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,146.03,24,AP,1.469,0.813,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,146.03,24,AP,1.139,0.67,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,8.937,5.316826374
Dragon Palace: Rebuild,40,40,815,Pseudo,8,,6.203,3.169,,6519,Warhorse's Young Horn,24.7,161.9,AP,0.532,0.315,,6543,Crown of Silvery Light,36.19,110.5,AP,0.453,0.26,,6101,Magic Gem of Saber,34.23,116.9,AP,0.189,,,7101,Saber Monument,16.54,241.8,AP,0.205,,,6001,Gem of Saber,17.06,234.5,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,317,0.008,,,17.6,5.9,64.5,,11.9,4,43.7,,23.5,7.8,86.1,,6530,Mystic Spinal Fluid,24.26,164.9,AP,0.174,0.096,,6502,Seed of Yggdrasil,24.26,164.9,AP,0.213,0.118,,6522,Fool's Chain,24.26,164.9,AP,0.16,0.095,,6501,Phoenix Feather,24.26,164.9,AP,0.318,0.176,,6523,Lamp of Evil-Sealing,24.26,164.9,AP,0.579,0.263,,6525,Scarab of Wisdom,24.26,164.9,AP,0.929,0.422,,6550,Scale of Fantasy,24.26,164.9,AP,0.28,0.175,,6533,Stake of Wailing Night,24.26,164.9,AP,0.166,0.097,,6511,Forbidden Page,24.26,164.9,AP,0.369,0.167,,6549,Small Bell of Absolution,24.26,164.9,AP,0.175,0.102,,6540,Tsukumo Mirror,24.26,164.9,AP,0.929,0.457,,6517,Heart of the Foreign God,24.26,164.9,AP,0.919,0.417,,,39.721,23.32087744
Detached Residence,40,40,415,Pseudo,8,,3.26,1.96,,6505,Void's Dust,35.42,112.9,AP,0.257,0.117,,6007,Gem of Berserker,28.7,139.4,AP,0.049,,,7007,Berserker Piece,23.15,172.8,AP,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,50,0.002,,,18.5,6.2,67.9,,,,0,,18.1,6,66.2,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,165.55,24.2,AP,1.088,0.648,,6501,Phoenix Feather,,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,165.55,24.2,AP,1.912,1.193,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,10.369,4.759832004
Dumpling Store,40,40,515,Pseudo,8,,7.131,3.6,,6507,Claw of Chaos,13.93,287.2,AP,0.324,0.191,,6536,Aurora Steel,22.47,178,AP,0.256,0.157,,6104,Magic Gem of Rider,12.13,329.8,AP,0.065,,,7004,Rider Piece,21.46,186.4,AP,0.099,,,6004,Gem of Rider,19.44,205.8,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,3,0.002,,,15.1,5,55.2,,15,5,54.9,,15,5,55.1,,6530,Mystic Spinal Fluid,30.49,131.2,AP,0.219,0.121,,6502,Seed of Yggdrasil,30.49,131.2,AP,0.268,0.149,,6522,Fool's Chain,30.49,131.2,AP,0.201,0.119,,6501,Phoenix Feather,30.49,131.2,AP,0.399,0.221,,6523,Lamp of Evil-Sealing,30.49,131.2,AP,0.727,0.33,,6525,Scarab of Wisdom,30.49,131.2,AP,1.168,0.53,,6550,Scale of Fantasy,30.49,131.2,AP,0.352,0.22,,6533,Stake of Wailing Night,30.49,131.2,AP,0.208,0.122,,6511,Forbidden Page,30.49,131.2,AP,0.464,0.21,,6549,Small Bell of Absolution,30.49,131.2,AP,0.22,0.128,,6540,Tsukumo Mirror,30.49,131.2,AP,1.167,0.575,,6517,Heart of the Foreign God,30.49,131.2,AP,1.155,0.524,,,23.296,13.9998024
Nagasaki Bay Seafloor,40,40,915,Pseudo,8,,10.153,5.099,,6540,Tsukumo Mirror,20.57,194.5,AP,0.787,0.388,,6550,Scale of Fantasy,41.36,96.7,AP,0.478,0.298,,6203,Secret Gem of Lancer,20.34,196.7,AP,0.374,,,7103,Lancer Monument,19.32,207,AP,0.231,,,6003,Gem of Lancer,31.82,125.7,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,7,0.004,,,20.5,6.8,75.1,,20.5,6.8,75.2,,20.3,6.8,74.5,,6530,Mystic Spinal Fluid,41.37,96.7,AP,0.297,0.164,,6502,Seed of Yggdrasil,41.37,96.7,AP,0.364,0.202,,6522,Fool's Chain,41.37,96.7,AP,0.272,0.162,,6501,Phoenix Feather,41.37,96.7,AP,0.542,0.299,,6523,Lamp of Evil-Sealing,41.37,96.7,AP,0.987,0.448,,6525,Scarab of Wisdom,41.37,96.7,AP,1.585,0.719,,6550,Scale of Fantasy,41.37,96.7,AP,0.478,0.298,,6533,Stake of Wailing Night,41.37,96.7,AP,0.282,0.166,,6511,Forbidden Page,41.37,96.7,AP,0.629,0.286,,6549,Small Bell of Absolution,41.37,96.7,AP,0.299,0.174,,6540,Tsukumo Mirror,41.37,96.7,AP,1.584,0.78,,6517,Heart of the Foreign God,41.37,96.7,AP,1.567,0.711,,,50.74,27.56908112
Flood Gates,40,40,"1,098",Pseudo,8,,11.7,5.946,,6518,Spirit Root,25.45,157.2,AP,0.959,0.471,,6555,Vestige of Madness,77.69,51.5,AP,0.579,0.429,,6205,Secret Gem of Caster,26.16,152.9,AP,0.324,,,7105,Caster Monument,25.47,157,AP,0.31,,,6005,Gem of Caster,34.11,117.3,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,0.004,,,23.2,7.7,85.1,,23.2,7.7,85.1,,23.2,7.7,85.1,,6530,Mystic Spinal Fluid,47.3,84.6,AP,0.339,0.188,,6502,Seed of Yggdrasil,47.3,84.6,AP,0.416,0.231,,6522,Fool's Chain,47.3,84.6,AP,0.311,0.185,,6501,Phoenix Feather,47.3,84.6,AP,0.62,0.342,,6523,Lamp of Evil-Sealing,47.3,84.6,AP,1.128,0.512,,6525,Scarab of Wisdom,47.3,84.6,AP,1.812,0.823,,6550,Scale of Fantasy,47.3,84.6,AP,0.546,0.341,,6533,Stake of Wailing Night,47.3,84.6,AP,0.323,0.19,,6511,Forbidden Page,47.3,84.6,AP,0.719,0.326,,6549,Small Bell of Absolution,47.3,84.6,AP,0.342,0.199,,6540,Tsukumo Mirror,47.3,84.6,AP,1.81,0.891,,6517,Heart of the Foreign God,47.3,84.6,AP,1.791,0.813,,,61.684,36.16441964
Side Storehouse,40,40,"1,318",Pseudo,8,,13.122,6.738,,6548,Flaming Oni Lantern Plant,31.17,128.3,AP,1.221,0.744,,6554,Obsidian Knife,95.06,42.1,AP,0.689,0.426,,6204,Secret Gem of Rider,31.51,126.9,AP,0.578,,,7104,Rider Monument,8.79,455.1,AP,0.108,,,6104,Magic Gem of Rider,21.31,187.7,AP,0.115,,,6004,Gem of Rider,11.45,349.3,AP,0.024,,,7105,Caster Monument,8.55,467.8,AP,0.104,,,7106,Assassin Monument,7.56,529.1,AP,0.091,,,7107,Berserker Monument,8.76,456.6,AP,0.106,,,"13,536",338,,0.005,,,25.6,8.5,93.9,,25.6,8.5,93.9,,25.6,8.5,93.9,,6530,Mystic Spinal Fluid,52.19,76.6,AP,0.374,0.207,,6502,Seed of Yggdrasil,52.19,76.6,AP,0.459,0.254,,6522,Fool's Chain,52.19,76.6,AP,0.343,0.204,,6501,Phoenix Feather,52.19,76.6,AP,0.684,0.378,,6523,Lamp of Evil-Sealing,52.19,76.6,AP,1.245,0.565,,6525,Scarab of Wisdom,52.19,76.6,AP,1.999,0.908,,6550,Scale of Fantasy,52.19,76.6,AP,0.603,0.376,,6533,Stake of Wailing Night,52.19,76.6,AP,0.356,0.21,,6511,Forbidden Page,52.19,76.6,AP,0.793,0.36,,6549,Small Bell of Absolution,52.19,76.6,AP,0.377,0.22,,6540,Tsukumo Mirror,52.19,76.6,AP,1.998,0.984,,6517,Heart of the Foreign God,52.19,76.6,AP,1.977,0.898,,,76.577,47.00065527
