Dancing Dragon Castle,,Dancing Dragon Castle,,Lotto Drop Bonus:,,6,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Special sheet for GUDAGUDA New Yamataikoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Sweets,Eff,,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,
Nagasaki: Negotiation,30,30,165,Pseudo,6,,2.833,1.571,,6522,Fool's Chain,10.79,278.0,AP,0.095,0.056,,6106,Magic Gem of Assassin,10.16,295.3,AP,0.064,,,7006,Assassin Piece,12.06,248.8,AP,0.064,,,6006,Gem of Assassin,10.16,295.3,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,39,0.002,,,13.5,4.5,40.5,,13.8,4.6,41.3,,,,0.0,,6530,Mystic Spinal Fluid,101.25,29.6,AP,0.969,0.536,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,8.85,29.6,AP,1.769,0.977,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,2.884,1.736407682
Nagasaki: Interview,40,40,615,Pseudo,6,,5.052,2.529,,6520,Tearstone of Blood,16.99,235.4,AP,0.462,0.230,,6502,Seed of Yggdrasil,35.18,113.7,AP,0.310,0.171,,6102,Magic Gem of Archer,18.31,218.5,AP,0.092,,,7102,Archer Monument,10.96,365.0,AP,0.133,,,6002,Gem of Archer,20.6,194.2,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,260,0.006,,,23.4,7.8,70.2,,17.8,5.9,53.5,,11.9,4.0,35.8,,6530,Mystic Spinal Fluid,19.90,201.0,AP,0.143,0.079,,6502,Seed of Yggdrasil,19.90,201.0,AP,0.175,0.097,,6522,Fool's Chain,19.90,201.0,AP,0.131,0.078,,6501,Phoenix Feather,8.90,201.0,AP,0.261,0.144,,6523,Lamp of Evil-Sealing,19.90,201.0,AP,0.475,0.215,,6525,Scarab of Wisdom,19.90,201.0,AP,0.762,0.346,,6550,Scale of Fantasy,19.90,201.0,AP,0.230,0.143,,6533,Stake of Wailing Night,19.90,201.0,AP,0.136,0.080,,6511,Forbidden Page,19.90,201.0,AP,0.302,0.137,,6549,Small Bell of Absolution,19.90,201.0,AP,0.144,0.084,,6540,Tsukumo Mirror,19.90,201.0,AP,0.762,0.375,,6517,Heart of the Foreign God,19.90,201.0,AP,0.754,0.342,,,31.120,16.31605699
Nagasaki: Recipes,40,40,715,Pseudo,6,,5.161,2.647,,6528,Primordial Lanugo,18.86,212.1,AP,0.490,0.289,,6538,Soundless Bell,32.89,121.6,AP,0.380,0.225,,6106,Magic Gem of Assassin,29.62,135.0,AP,0.141,,,7106,Assassin Monument,13.25,301.9,AP,0.160,,,6006,Gem of Assassin,24.08,166.1,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,256,0.007,,,12.0,4.0,35.9,,23.5,7.8,70.4,,17.6,5.9,52.7,,6530,Mystic Spinal Fluid,19.95,200.5,AP,0.143,0.079,,6502,Seed of Yggdrasil,19.95,200.5,AP,0.176,0.097,,6522,Fool's Chain,19.95,200.5,AP,0.131,0.078,,6501,Phoenix Feather,8.83,200.5,AP,0.261,0.144,,6523,Lamp of Evil-Sealing,19.95,200.5,AP,0.476,0.216,,6525,Scarab of Wisdom,19.95,200.5,AP,0.764,0.347,,6550,Scale of Fantasy,19.95,200.5,AP,0.230,0.144,,6533,Stake of Wailing Night,19.95,200.5,AP,0.136,0.080,,6511,Forbidden Page,19.95,200.5,AP,0.303,0.138,,6549,Small Bell of Absolution,19.95,200.5,AP,0.144,0.084,,6540,Tsukumo Mirror,19.95,200.5,AP,0.764,0.376,,6517,Heart of the Foreign God,19.95,200.5,AP,0.756,0.343,,,35.072,20.81635462
Dragon Palace: Transport,35,35,265,Pseudo,6,,2.389,1.365,,6514,Homunculus Baby,19.54,179.1,AP,0.253,0.150,,6103,Magic Gem of Lancer,11.73,298.4,AP,0.067,,,7003,Lancer Piece,15.31,228.6,AP,0.081,,,6003,Gem of Lancer,11.73,298.4,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,35,0.002,,,,,0.0,,15.9,5.3,47.8,,16.0,5.3,47.9,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,119.48,29.3,AP,1.202,0.665,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,16.98,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,119.48,29.3,AP,0.932,0.548,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,8.933,5.312969265
Dragon Palace: Rebuild,40,40,815,Pseudo,6,,5.255,2.698,,6519,Warhorse's Young Horn,24.7,161.9,AP,0.532,0.315,,6543,Crown of Silvery Light,36.19,110.5,AP,0.453,0.260,,6101,Magic Gem of Saber,34.23,116.9,AP,0.189,,,7101,Saber Monument,16.54,241.8,AP,0.205,,,6001,Gem of Saber,17.06,234.5,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,259,0.007,,,17.6,5.9,52.7,,11.9,4.0,35.7,,23.5,7.8,70.5,,6530,Mystic Spinal Fluid,19.85,201.5,AP,0.142,0.079,,6502,Seed of Yggdrasil,19.85,201.5,AP,0.175,0.097,,6522,Fool's Chain,19.85,201.5,AP,0.131,0.078,,6501,Phoenix Feather,16.72,201.5,AP,0.260,0.144,,6523,Lamp of Evil-Sealing,19.85,201.5,AP,0.473,0.215,,6525,Scarab of Wisdom,19.85,201.5,AP,0.760,0.345,,6550,Scale of Fantasy,19.85,201.5,AP,0.229,0.143,,6533,Stake of Wailing Night,19.85,201.5,AP,0.135,0.080,,6511,Forbidden Page,19.85,201.5,AP,0.302,0.137,,6549,Small Bell of Absolution,19.85,201.5,AP,0.143,0.083,,6540,Tsukumo Mirror,19.85,201.5,AP,0.760,0.374,,6517,Heart of the Foreign God,19.85,201.5,AP,0.752,0.341,,,39.686,23.28675686
Detached Residence,40,40,415,Pseudo,6,,2.714,1.626,,6505,Void's Dust,35.42,112.9,AP,0.257,0.117,,6007,Gem of Berserker,28.7,139.4,AP,0.049,,,7007,Berserker Piece,23.15,172.8,AP,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,41,0.002,,,18.5,6.2,55.5,,,,0.0,,18.1,6.0,54.2,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,135.45,29.5,AP,0.891,0.531,,6501,Phoenix Feather,17.19,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,135.45,29.5,AP,1.564,0.976,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,10.364,4.754491392
Dumpling Store,40,40,515,Pseudo,6,,5.940,3.009,,6507,Claw of Chaos,13.93,287.2,AP,0.324,0.191,,6536,Aurora Steel,22.47,178.0,AP,0.256,0.157,,6104,Magic Gem of Rider,12.13,329.8,AP,0.065,,,7004,Rider Piece,21.46,186.4,AP,0.099,,,6004,Gem of Rider,19.44,205.8,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,3,0.002,,,15.1,5.0,45.2,,15.0,5.0,44.9,,15.0,5.0,45.1,,6530,Mystic Spinal Fluid,24.95,160.3,AP,0.179,0.099,,6502,Seed of Yggdrasil,24.95,160.3,AP,0.220,0.122,,6522,Fool's Chain,24.95,160.3,AP,0.164,0.098,,6501,Phoenix Feather,20.51,160.3,AP,0.327,0.181,,6523,Lamp of Evil-Sealing,24.95,160.3,AP,0.595,0.270,,6525,Scarab of Wisdom,24.95,160.3,AP,0.956,0.434,,6550,Scale of Fantasy,24.95,160.3,AP,0.288,0.180,,6533,Stake of Wailing Night,24.95,160.3,AP,0.170,0.100,,6511,Forbidden Page,24.95,160.3,AP,0.379,0.172,,6549,Small Bell of Absolution,24.95,160.3,AP,0.180,0.105,,6540,Tsukumo Mirror,24.95,160.3,AP,0.955,0.470,,6517,Heart of the Foreign God,24.95,160.3,AP,0.945,0.429,,,23.295,13.9995057
Nagasaki Bay Seafloor,40,40,915,Pseudo,6,,8.538,4.297,,6540,Tsukumo Mirror,20.57,194.5,AP,0.787,0.388,,6550,Scale of Fantasy,41.36,96.7,AP,0.478,0.298,,6203,Secret Gem of Lancer,20.34,196.7,AP,0.374,,,7103,Lancer Monument,19.32,207.0,AP,0.231,,,6003,Gem of Lancer,31.82,125.7,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,6,0.004,,,20.5,6.8,61.5,,20.5,6.8,61.6,,20.3,6.8,60.9,,6530,Mystic Spinal Fluid,33.85,118.2,AP,0.243,0.135,,6502,Seed of Yggdrasil,33.85,118.2,AP,0.298,0.165,,6522,Fool's Chain,33.85,118.2,AP,0.223,0.133,,6501,Phoenix Feather,22.07,118.2,AP,0.443,0.245,,6523,Lamp of Evil-Sealing,33.85,118.2,AP,0.807,0.367,,6525,Scarab of Wisdom,33.85,118.2,AP,1.296,0.589,,6550,Scale of Fantasy,33.85,118.2,AP,0.391,0.244,,6533,Stake of Wailing Night,33.85,118.2,AP,0.231,0.136,,6511,Forbidden Page,33.85,118.2,AP,0.515,0.234,,6549,Small Bell of Absolution,33.85,118.2,AP,0.245,0.142,,6540,Tsukumo Mirror,33.85,118.2,AP,1.296,0.638,,6517,Heart of the Foreign God,33.85,118.2,AP,1.282,0.582,,,50.740,27.56848772
Flood Gates,40,40,"1,098",Pseudo,6,,9.853,5.029,,6518,Spirit Root,25.45,157.2,AP,0.959,0.471,,6555,Vestige of Madness,77.69,51.5,AP,0.579,0.429,,6205,Secret Gem of Caster,26.16,152.9,AP,0.324,,,7105,Caster Monument,25.47,157.0,AP,0.310,,,6005,Gem of Caster,34.11,117.3,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,0.004,,,23.2,7.7,69.7,,23.2,7.7,69.7,,23.2,7.7,69.7,,6530,Mystic Spinal Fluid,38.70,103.4,AP,0.278,0.154,,6502,Seed of Yggdrasil,38.70,103.4,AP,0.341,0.189,,6522,Fool's Chain,38.70,103.4,AP,0.254,0.152,,6501,Phoenix Feather,20.46,103.4,AP,0.507,0.280,,6523,Lamp of Evil-Sealing,38.70,103.4,AP,0.923,0.419,,6525,Scarab of Wisdom,38.70,103.4,AP,1.482,0.673,,6550,Scale of Fantasy,38.70,103.4,AP,0.447,0.279,,6533,Stake of Wailing Night,38.70,103.4,AP,0.264,0.155,,6511,Forbidden Page,38.70,103.4,AP,0.588,0.267,,6549,Small Bell of Absolution,38.70,103.4,AP,0.280,0.163,,6540,Tsukumo Mirror,38.70,103.4,AP,1.481,0.729,,6517,Heart of the Foreign God,38.70,103.4,AP,1.466,0.666,,,61.684,36.16441964
Side Storehouse,40,40,"1,318",Pseudo,6,,11.084,5.726,,6548,Flaming Oni Lantern Plant,31.17,128.3,AP,1.221,0.744,,6554,Obsidian Knife,95.06,42.1,AP,0.689,0.426,,6204,Secret Gem of Rider,31.51,126.9,AP,0.578,,,7104,Rider Monument,8.79,455.1,AP,0.108,,,6104,Magic Gem of Rider,21.31,187.7,AP,0.115,,,6004,Gem of Rider,11.45,349.3,AP,0.024,,,7105,Caster Monument,8.55,467.8,AP,0.104,,,7106,Assassin Monument,7.56,529.1,AP,0.091,,,7107,Berserker Monument,8.76,456.6,AP,0.106,,,"13,536",338,,0.005,,,25.6,8.5,76.9,,25.6,8.5,76.9,,25.6,8.5,76.9,,6530,Mystic Spinal Fluid,42.70,93.7,AP,0.306,0.170,,6502,Seed of Yggdrasil,42.70,93.7,AP,0.376,0.208,,6522,Fool's Chain,42.70,93.7,AP,0.281,0.167,,6501,Phoenix Feather,25.92,93.7,AP,0.559,0.309,,6523,Lamp of Evil-Sealing,42.70,93.7,AP,1.018,0.462,,6525,Scarab of Wisdom,42.70,93.7,AP,1.635,0.743,,6550,Scale of Fantasy,42.70,93.7,AP,0.493,0.308,,6533,Stake of Wailing Night,42.70,93.7,AP,0.291,0.171,,6511,Forbidden Page,42.70,93.7,AP,0.649,0.295,,6549,Small Bell of Absolution,42.70,93.7,AP,0.309,0.180,,6540,Tsukumo Mirror,42.70,93.7,AP,1.634,0.805,,6517,Heart of the Foreign God,42.70,93.7,AP,1.617,0.734,,,76.577,47.00065527
